ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
6f721afc-9240-5eee-81e3-ac04a47f2b59,tg:lhbr:198907,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:198907,record identifiers,https://data.letterenhuis.be/ark:/24970/6f721afc-9240-5eee-81e3-ac04a47f2b59,object identifier,Brieven,,,,,,
6f721afc-9240-5eee-81e3-ac04a47f2b59,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a5f4571d-d155-4993-a826-ca89b206c846"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1bc9cd80-49ab-41ee-8a7c-b08090cb2c4f"", ""inverseOntologyProperty"": """"}]"
6f721afc-9240-5eee-81e3-ac04a47f2b59,tg:lhbr:198907,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,2073,In Copyright,
6f721afc-9240-5eee-81e3-ac04a47f2b59,tg:lhbr:198907,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19581200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f721afc-9240-5eee-81e3-ac04a47f2b59,tg:lhbr:198907,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1958-12,,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f721afc-9240-5eee-81e3-ac04a47f2b59,tg:lhbr:198907,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
6f721afc-9240-5eee-81e3-ac04a47f2b59,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000188485,referentienummer,False,,,,,,,,,,,,,,,
6f721afc-9240-5eee-81e3-ac04a47f2b59,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:198907,brocade id,False,,,,,,,,,,,,,,,
6f721afc-9240-5eee-81e3-ac04a47f2b59,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:198907/N,brocade url,False,,,,,,,,,,,,,,,
6f721afc-9240-5eee-81e3-ac04a47f2b59,tg:lhbr:198907,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0be62a21-5ed5-5638-b041-ab9b33d66787"", ""ontologyProperty"": """", ""resourceXresourceId"": ""442cf4e7-b505-4b30-991f-8b22f0600070"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
