ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
731476b3-df16-5409-97d5-59f3038253d9,tg:lhbr:251230,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:251230,record identifiers,https://data.letterenhuis.be/ark:/24970/731476b3-df16-5409-97d5-59f3038253d9,object identifier,Brieven,,,,,,
731476b3-df16-5409-97d5-59f3038253d9,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""15b1c50e-5621-4c0d-bbde-fcf3de5a199b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c039cb4d-4ee0-4b03-bd1c-f913bf458c12"", ""inverseOntologyProperty"": """"}]"
731476b3-df16-5409-97d5-59f3038253d9,tg:lhbr:251230,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,2079,In Copyright,
731476b3-df16-5409-97d5-59f3038253d9,tg:lhbr:251230,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19641200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731476b3-df16-5409-97d5-59f3038253d9,tg:lhbr:251230,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1964-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731476b3-df16-5409-97d5-59f3038253d9,tg:lhbr:251230,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
731476b3-df16-5409-97d5-59f3038253d9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000240093,referentienummer,False,,,,,,,,,,,,,,,
731476b3-df16-5409-97d5-59f3038253d9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:251230,brocade id,False,,,,,,,,,,,,,,,
731476b3-df16-5409-97d5-59f3038253d9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:251230/N,brocade url,False,,,,,,,,,,,,,,,
731476b3-df16-5409-97d5-59f3038253d9,tg:lhbr:251230,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""76bf267b-4cf0-5fc1-bf89-4007a3293a07"", ""ontologyProperty"": """", ""resourceXresourceId"": ""38a61ac2-bcef-421d-9fa2-4505439e7ee0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
