ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,tg:lhbr:29529,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:29529,record identifiers,https://data.letterenhuis.be/ark:/24970/73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,object identifier,Brieven,,,,,,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6db601c4-d4cb-47af-910b-2d2eaabbd003"", ""ontologyProperty"": """", ""resourceXresourceId"": ""74454aba-a674-449c-8801-8ca0f30d40c2"", ""inverseOntologyProperty"": """"}]"
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,tg:lhbr:29529,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.0,2054,In Copyright,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,tg:lhbr:29529,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19391013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,tg:lhbr:29529,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1939-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,tg:lhbr:29529,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000028472,referentienummer,False,,,,,,,,,,,,,,,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:29529,brocade id,False,,,,,,,,,,,,,,,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:29529/N,brocade url,False,,,,,,,,,,,,,,,
73749da7-a0d5-5c5d-9d53-da1ac19fc8dc,tg:lhbr:29529,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6a71cbdd-e5bb-52a4-871c-5d24b781e090"", ""ontologyProperty"": """", ""resourceXresourceId"": ""faa6389d-dc58-441b-a20d-d259b7ddb13e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
