ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:33082,record identifiers,https://data.letterenhuis.be/ark:/24970/81106830-28bb-5246-993e-58ba281818fe,object identifier,Brieven,,,,,,
81106830-28bb-5246-993e-58ba281818fe,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6cbb92b8-7248-45c1-a5e0-884c968427c4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""49497c31-ed5b-43e8-964e-09600f0d500c"", ""inverseOntologyProperty"": """"}]"
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.0,2060,In Copyright,
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19451218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1945-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000031906,referentienummer,False,,,,,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:33082,brocade id,False,,,,,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:33082/N,brocade url,False,,,,,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""49cb05e8-f588-5c25-86a2-eb80eec40d65"", ""ontologyProperty"": """", ""resourceXresourceId"": ""717e3702-dd4a-4f64-9305-b732fd9dc399"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,e73_Titles,,,au::4046,,,,lhbr,lhbr,Brief,dde51e7a-0b75-5968-884e-a2f90b8d9b33,bs,,au::4046:1,au::4046g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/432922"",""au::4046"",""au::4046:1"",""ark:/83110/x0/dde51e7a-0b75-5968-884e-a2f90b8d9b33"",""François Closset"",""ark:/83110/x0/65a49629-cd4b-545d-882c-92d1bf7cbe58""],""name"":""François Closset"",""ark"":""ark:/83110/x0/65a49629-cd4b-545d-882c-92d1bf7cbe58"",""uri"":""/agents/people/432922"",""id"":""au::4046:1"",""resourceArk"":""ark:/83110/x0/dde51e7a-0b75-5968-884e-a2f90b8d9b33"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/dde51e7a-0b75-5968-884e-a2f90b8d9b33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81106830-28bb-5246-993e-58ba281818fe,tg:lhbr:33082,e73_Titles,,,au::5680,,,,lhbr,lhbr,Brief,9fa775a3-662b-54a7-b93a-bb99806309b9,co,,au::5680:1,au::5680g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/607760"",""au::5680"",""au::5680:1"",""ark:/83110/x0/9fa775a3-662b-54a7-b93a-bb99806309b9"",""Frans van Dijck"",""ark:/83110/x0/9237ca9a-8a3e-5465-b5d8-65d2d7f467b1""],""name"":""Frans van Dijck"",""ark"":""ark:/83110/x0/9237ca9a-8a3e-5465-b5d8-65d2d7f467b1"",""uri"":""/agents/people/607760"",""id"":""au::5680:1"",""resourceArk"":""ark:/83110/x0/9fa775a3-662b-54a7-b93a-bb99806309b9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9fa775a3-662b-54a7-b93a-bb99806309b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
