ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:150409,record identifiers,https://data.letterenhuis.be/ark:/24970/87fec5c5-8b73-5a90-bec2-815286c13a7a,object identifier,Brieven,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5789f50c-3331-49e3-b085-7519ba33d4ac"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e03544b-88d4-4013-83e1-22886b251641"", ""inverseOntologyProperty"": """"}]"
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.0,2052,In Copyright,
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19370206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1937-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000141819,referentienummer,False,,,,,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:150409,brocade id,False,,,,,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:150409/N,brocade url,False,,,,,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2dc5707b-6f7c-55b1-9deb-5bb97338bb37"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f4d596f8-5022-4b68-ad30-1214329686ae"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,e73_Titles,,,au::19676,,,,lhbr,lhbr,Brief,135b6305-6c4e-5359-98e4-46dd44b54733,bs,,au::19676:1,au::19676g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2105332"",""au::19676"",""au::19676:1"",""ark:/83110/x0/135b6305-6c4e-5359-98e4-46dd44b54733"",""Pierre J.H. Vermeeren"",""ark:/83110/x0/f89c857c-ea04-5f7a-b21d-91671f2c0d41""],""name"":""Pierre J.H. Vermeeren"",""ark"":""ark:/83110/x0/f89c857c-ea04-5f7a-b21d-91671f2c0d41"",""uri"":""/agents/people/2105332"",""id"":""au::19676:1"",""resourceArk"":""ark:/83110/x0/135b6305-6c4e-5359-98e4-46dd44b54733"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/135b6305-6c4e-5359-98e4-46dd44b54733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87fec5c5-8b73-5a90-bec2-815286c13a7a,tg:lhbr:150409,e73_Titles,,,au::7733,,,,lhbr,lhbr,Brief,c675a24e-457d-5bc9-9c72-9640bb831c37,co,,au::7733:1,au::7733g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/827431"",""au::7733"",""au::7733:1"",""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""Jozef Goossenaerts"",""ark:/83110/x0/d1b74417-2c7c-528f-a869-44c25ad110e1""],""name"":""Jozef Goossenaerts"",""ark"":""ark:/83110/x0/d1b74417-2c7c-528f-a869-44c25ad110e1"",""uri"":""/agents/people/827431"",""id"":""au::7733:1"",""resourceArk"":""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
