ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
8a9e977f-6345-5a25-b124-f3d177ea7a4b,tg:lhbr:108323,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:108323,record identifiers,https://data.letterenhuis.be/ark:/24970/8a9e977f-6345-5a25-b124-f3d177ea7a4b,object identifier,Brieven,,,,,,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f5067425-8eaf-4833-abb4-0111b9b79101"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c38b25d6-a42f-4683-833f-b1a6d9fe1eef"", ""inverseOntologyProperty"": """"}]"
8a9e977f-6345-5a25-b124-f3d177ea7a4b,tg:lhbr:108323,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.0,2050,In Copyright,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,tg:lhbr:108323,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,tg:lhbr:108323,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1935-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,tg:lhbr:108323,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000101896,referentienummer,False,,,,,,,,,,,,,,,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:108323,brocade id,False,,,,,,,,,,,,,,,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:108323/N,brocade url,False,,,,,,,,,,,,,,,
8a9e977f-6345-5a25-b124-f3d177ea7a4b,tg:lhbr:108323,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""79da2f68-8d92-5b49-9182-040948b70b46"", ""ontologyProperty"": """", ""resourceXresourceId"": ""77d0078a-2444-4849-bd61-7dea5b7ebcf0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
