ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,tg:lhbr:992,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:992,record identifiers,https://data.letterenhuis.be/ark:/24970/8f1573ca-1bb6-55da-a7e7-e94e27a87aab,object identifier,Brieven,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""220ee571-9154-4342-ac4f-5d94434b7c1b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""209c45f6-2840-474a-9da3-203e594fc373"", ""inverseOntologyProperty"": """"}]"
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,tg:lhbr:992,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928.0,2043,In Copyright,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,tg:lhbr:992,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19281207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,tg:lhbr:992,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1928-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,tg:lhbr:992,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000000926,referentienummer,False,,,,,,,,,,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:992,brocade id,False,,,,,,,,,,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:992/N,brocade url,False,,,,,,,,,,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,tg:lhbr:992,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""50eea388-3b30-5cda-a1c3-4e503a62b16e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""75636082-b92d-4a95-bd92-245c65217d0b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
8f1573ca-1bb6-55da-a7e7-e94e27a87aab,tg:lhbr:992,e73_Titles,,,au::201,,,,lhbr,lhbr,Brief,e1b8da89-c6eb-5441-ae29-45ef4c732daf,bs,,au::201:1,au::201g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/21507"",""au::201"",""au::201:1"",""ark:/83110/x0/e1b8da89-c6eb-5441-ae29-45ef4c732daf"",""Willem van den Aker"",""ark:/83110/x0/e292749d-ef31-56bf-bdd2-3c5ac58b9b06""],""name"":""Willem van den Aker"",""ark"":""ark:/83110/x0/e292749d-ef31-56bf-bdd2-3c5ac58b9b06"",""uri"":""/agents/people/21507"",""id"":""au::201:1"",""resourceArk"":""ark:/83110/x0/e1b8da89-c6eb-5441-ae29-45ef4c732daf"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e1b8da89-c6eb-5441-ae29-45ef4c732daf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
