ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,tg:lhbr:185535,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:185535,record identifiers,https://data.letterenhuis.be/ark:/24970/913b81cb-431d-53c0-acf5-bcf3b1ac7e83,object identifier,Brieven,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,tg:lhbr:185535,e73_AnnotationsImmaterial,1,note.lhalg,"<p>i.v.m. typografie in de kronieken, Maurice Roelants' houding ten opzichte van NVT en Elsevier en zijn eigen 'De ruiter op de wolken'; doorslag ook bewaard (schenking Lampo)</p>
","<p>i.v.m. typografie in de kronieken, Maurice Roelants' houding ten opzichte van NVT en Elsevier en zijn eigen 'De ruiter op de wolken'; doorslag ook bewaard (schenking Lampo)</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d07c2849-fcc8-4ee1-a7c2-9da303f98db6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""24b2f089-4ee7-4e59-9016-d2df50cd56e2"", ""inverseOntologyProperty"": """"}]"
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,tg:lhbr:185535,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.0,2063,In Copyright,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,tg:lhbr:185535,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19480510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,tg:lhbr:185535,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1948-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,tg:lhbr:185535,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000175255,referentienummer,False,,,,,,,,,,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:185535,brocade id,False,,,,,,,,,,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:185535/N,brocade url,False,,,,,,,,,,,,,,,
913b81cb-431d-53c0-acf5-bcf3b1ac7e83,tg:lhbr:185535,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ad34fa90-634f-5709-901e-c7086af54a7b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""de37c6fb-44f0-46c5-9acf-a196eb7c9f26"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
