ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:107468,record identifiers,https://data.letterenhuis.be/ark:/24970/9170d0ca-a15a-5826-a489-832327d55eaa,object identifier,Brieven,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3f5b0cb9-dc50-430d-a113-5eac5e0ca7b9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""24ac9e46-8e6f-4f54-9c62-2e97904e8747"", ""inverseOntologyProperty"": """"}]"
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969.0,2084,In Copyright,
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19690130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1969-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000101191,referentienummer,False,,,,,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:107468,brocade id,False,,,,,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:107468/N,brocade url,False,,,,,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1e0b92e8-5261-5577-b326-283a160b990c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""da10a46d-a58d-4155-951d-efa873342957"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,e73_Titles,,,au::13646:::MWV.1,,,,lhbr,lhbr,Brief,da49977e-abef-5054-8626-4fbe2c32f3a6,bs,,au::13646:1::MWV.1,au::13646g:1::MWV.1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1460122"",""au::13646"",""au::13646:1"",""ark:/83110/x0/35e5cbb8-1500-599a-a456-4bfdde06cb3a"",""Etienne van Neste [Medewerker van Belgische Radio en Televisie]"",""ark:/83110/x0/0a37d215-b937-59bd-96f8-c800255ac24a"",""au::13646:1::MWV.1"",""au::13646:1::MWV::au::1458""],""name"":""Etienne van Neste [Medewerker van Belgische Radio en Televisie]"",""ark"":""ark:/83110/x0/0a37d215-b937-59bd-96f8-c800255ac24a"",""uri"":""/agents/people/1460122"",""id"":""au::13646:1::MWV::au::1458"",""resourceArk"":""ark:/83110/x0/35e5cbb8-1500-599a-a456-4bfdde06cb3a"",""resourceID"":""au::13646:1"",""capacity"":""Medewerker van Belgische Radio en Televisie"",""isCapacity"":true,""relatorRaw"":""au::13646:1::MWV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/35e5cbb8-1500-599a-a456-4bfdde06cb3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9170d0ca-a15a-5826-a489-832327d55eaa,tg:lhbr:107468,e73_Titles,,,au::14102,,,,lhbr,lhbr,Brief,5971d8b9-3dff-5bd3-b124-ee648c7775ec,co,,au::14102:1,au::14102g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1508914"",""au::14102"",""au::14102:1"",""ark:/83110/x0/5971d8b9-3dff-5bd3-b124-ee648c7775ec"",""Gabriël Opdebeek"",""ark:/83110/x0/c8ee88b6-baf6-5138-b7e1-0ca891aabcb5""],""name"":""Gabriël Opdebeek"",""ark"":""ark:/83110/x0/c8ee88b6-baf6-5138-b7e1-0ca891aabcb5"",""uri"":""/agents/people/1508914"",""id"":""au::14102:1"",""resourceArk"":""ark:/83110/x0/5971d8b9-3dff-5bd3-b124-ee648c7775ec"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/5971d8b9-3dff-5bd3-b124-ee648c7775ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
