ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:266736,record identifiers,https://data.letterenhuis.be/ark:/24970/918b5ee1-0d36-56d2-8dea-28f58ceb2612,object identifier,Brieven,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""31404177-e6dd-41b8-b3ac-1f4dcacd5011"", ""ontologyProperty"": """", ""resourceXresourceId"": ""13d05942-2406-4e1c-892c-cabab50216ac"", ""inverseOntologyProperty"": """"}]"
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934.0,2049,In Copyright,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19341010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1934-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000255472,referentienummer,False,,,,,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:266736,brocade id,False,,,,,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:266736/N,brocade url,False,,,,,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""579d57f1-e1e1-5b81-8f3f-83b3d1ab0033"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e058582-f47b-4b15-b36f-6ae2e51851ed"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,e73_Titles,,,au::7419,,,,lhbr,lhbr,Brief,98fcb5ad-b164-5059-9510-bf02aa470cd7,bs,,au::7419:1,au::7419g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/793833"",""au::7419"",""au::7419:1"",""ark:/83110/x0/98fcb5ad-b164-5059-9510-bf02aa470cd7"",""Marie Gevers"",""ark:/83110/x0/a0e1ba63-6551-5af2-9195-8a8c117f015a""],""name"":""Marie Gevers"",""ark"":""ark:/83110/x0/a0e1ba63-6551-5af2-9195-8a8c117f015a"",""uri"":""/agents/people/793833"",""id"":""au::7419:1"",""resourceArk"":""ark:/83110/x0/98fcb5ad-b164-5059-9510-bf02aa470cd7"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/98fcb5ad-b164-5059-9510-bf02aa470cd7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918b5ee1-0d36-56d2-8dea-28f58ceb2612,tg:lhbr:266736,e73_Titles,,,au::15680,,,,lhbr,lhbr,Brief,3d3e77f0-db59-5f07-b341-307cc1e3a875,co,,au::15680:1,au::15680g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1677760"",""au::15680"",""au::15680:1"",""ark:/83110/x0/3d3e77f0-db59-5f07-b341-307cc1e3a875"",""André de Ridder"",""ark:/83110/x0/7dbba817-70d0-5c25-b379-ba64e8ba9281""],""name"":""André de Ridder"",""ark"":""ark:/83110/x0/7dbba817-70d0-5c25-b379-ba64e8ba9281"",""uri"":""/agents/people/1677760"",""id"":""au::15680:1"",""resourceArk"":""ark:/83110/x0/3d3e77f0-db59-5f07-b341-307cc1e3a875"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3d3e77f0-db59-5f07-b341-307cc1e3a875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
