ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:69450,record identifiers,https://data.letterenhuis.be/ark:/24970/93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,object identifier,Brieven,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""16bd1cf1-97f6-42e3-95d4-35480a0b0319"", ""ontologyProperty"": """", ""resourceXresourceId"": ""43f4e080-ae1d-4b4d-a855-36409d801c96"", ""inverseOntologyProperty"": """"}]"
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884.0,1999,No Copyright - Public Domain Mark 1.0,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18841027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1884-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000066499,referentienummer,False,,,,,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:69450,brocade id,False,,,,,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:69450/N,brocade url,False,,,,,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a8fd85c1-eb65-52ae-949c-493ed760b72f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0f9f6992-5ab5-4bfd-beb0-d4777058e438"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,e73_Titles,,,au::8452,,,,lhbr,lhbr,Brief,3cf1a53c-25f7-5e7b-b06b-4653d8c283e6,bs,,au::8452:1,au::8452g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/904364"",""au::8452"",""au::8452:1"",""ark:/83110/x0/3cf1a53c-25f7-5e7b-b06b-4653d8c283e6"",""Xavier Havermans"",""ark:/83110/x0/a7632b97-a8bd-537e-96e0-6bb086c4e4af""],""name"":""Xavier Havermans"",""ark"":""ark:/83110/x0/a7632b97-a8bd-537e-96e0-6bb086c4e4af"",""uri"":""/agents/people/904364"",""id"":""au::8452:1"",""resourceArk"":""ark:/83110/x0/3cf1a53c-25f7-5e7b-b06b-4653d8c283e6"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3cf1a53c-25f7-5e7b-b06b-4653d8c283e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93a5854f-1aaf-5af1-8a22-b9a862f8f7c0,tg:lhbr:69450,e73_Titles,,,au::15746,,,,lhbr,lhbr,Brief,219cf59a-4b41-5357-8f90-60d50aa95065,co,,au::15746:1,au::15746g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1684822"",""au::15746"",""au::15746:1"",""ark:/83110/x0/219cf59a-4b41-5357-8f90-60d50aa95065"",""Jan van Rijswijck"",""ark:/83110/x0/6fec8f06-17e3-5c89-b1e3-e2021b7d2339""],""name"":""Jan van Rijswijck"",""ark"":""ark:/83110/x0/6fec8f06-17e3-5c89-b1e3-e2021b7d2339"",""uri"":""/agents/people/1684822"",""id"":""au::15746:1"",""resourceArk"":""ark:/83110/x0/219cf59a-4b41-5357-8f90-60d50aa95065"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/219cf59a-4b41-5357-8f90-60d50aa95065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
