ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
95e55d8c-5411-5528-ba39-ea9796afda3f,tg:lhbr:70816,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:70816,record identifiers,https://data.letterenhuis.be/ark:/24970/95e55d8c-5411-5528-ba39-ea9796afda3f,object identifier,Brieven,,,,,,
95e55d8c-5411-5528-ba39-ea9796afda3f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5f2eb3cc-b557-4cd1-ac39-6e7c826e0fda"", ""ontologyProperty"": """", ""resourceXresourceId"": ""aeacd3b0-f2a3-436b-be53-bcd508a49dba"", ""inverseOntologyProperty"": """"}]"
95e55d8c-5411-5528-ba39-ea9796afda3f,tg:lhbr:70816,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907.0,2022,No Known Copyright,
95e55d8c-5411-5528-ba39-ea9796afda3f,tg:lhbr:70816,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19070713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95e55d8c-5411-5528-ba39-ea9796afda3f,tg:lhbr:70816,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1907-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95e55d8c-5411-5528-ba39-ea9796afda3f,tg:lhbr:70816,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
95e55d8c-5411-5528-ba39-ea9796afda3f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000067812,referentienummer,False,,,,,,,,,,,,,,,
95e55d8c-5411-5528-ba39-ea9796afda3f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:70816,brocade id,False,,,,,,,,,,,,,,,
95e55d8c-5411-5528-ba39-ea9796afda3f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:70816/N,brocade url,False,,,,,,,,,,,,,,,
95e55d8c-5411-5528-ba39-ea9796afda3f,tg:lhbr:70816,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4d59fb3e-8751-5904-8045-978e323b7b21"", ""ontologyProperty"": """", ""resourceXresourceId"": ""38fce95a-16a4-44c1-91b1-f96f36467e16"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
