ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:1240,record identifiers,https://data.letterenhuis.be/ark:/24970/96fce015-14b1-5a06-8811-d4ac6333a0fe,object identifier,Brieven,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7d313193-4d76-4bcf-a190-f2e4e545e9e8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""285c7f92-137a-49e4-b080-2443403f9ab5"", ""inverseOntologyProperty"": """"}]"
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.0,2061,In Copyright,
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19461006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1946-10-06,,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000001161,referentienummer,False,,,,,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:1240,brocade id,False,,,,,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:1240/N,brocade url,False,,,,,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ff6c0aa7-8bb4-5cd9-aee3-fe6cc6105a94"", ""ontologyProperty"": """", ""resourceXresourceId"": ""466d1ae4-f8ed-4b11-ab7f-95bf2dd22d2a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,e73_Titles,,,au::22133:::MWV.1,,,,lhbr,lhbr,Brief,799d8d83-1d3b-5be7-b30c-b67b507ec2f7,bs,,au::22133:1::MWV.1,au::22133g:1::MWV.1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2368231"",""au::22133"",""au::22133:1"",""ark:/83110/x0/be5fcd96-b23d-59ca-a300-55b1bb761070"",""Albert [N.N.] [Medewerker van Katholieke Vlaamse Hogeschooluitbreiding]"",""ark:/83110/x0/2b17ae83-fafa-5b7b-9a08-d3b3b8652feb"",""au::22133:1::MWV.1"",""au::22133:1::MWV::au::10063""],""name"":""Albert [N.N.] [Medewerker van Katholieke Vlaamse Hogeschooluitbreiding]"",""ark"":""ark:/83110/x0/2b17ae83-fafa-5b7b-9a08-d3b3b8652feb"",""uri"":""/agents/people/2368231"",""id"":""au::22133:1::MWV::au::10063"",""resourceArk"":""ark:/83110/x0/be5fcd96-b23d-59ca-a300-55b1bb761070"",""resourceID"":""au::22133:1"",""capacity"":""Medewerker van Katholieke Vlaamse Hogeschooluitbreiding"",""isCapacity"":true,""relatorRaw"":""au::22133:1::MWV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/be5fcd96-b23d-59ca-a300-55b1bb761070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96fce015-14b1-5a06-8811-d4ac6333a0fe,tg:lhbr:1240,e73_Titles,,,au::2495:::PMV.1,,,,lhbr,lhbr,Brief,41c2a51b-ea71-5542-aa88-0ae104899bab,co,,au::2495:1,au::2495g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/266965"",""au::2495"",""au::2495:1"",""ark:/83110/x0/ebf91c8c-afd4-5126-a648-a94bd0f666b6"",""Henri Bosmans"",""ark:/83110/x0/9a446926-dffa-5080-9f14-cc45de31221b""],""name"":""Henri Bosmans"",""ark"":""ark:/83110/x0/9a446926-dffa-5080-9f14-cc45de31221b"",""uri"":""/agents/people/266965"",""id"":""au::2495:1"",""resourceArk"":""ark:/83110/x0/ebf91c8c-afd4-5126-a648-a94bd0f666b6"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ebf91c8c-afd4-5126-a648-a94bd0f666b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
