ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
9a8947cd-bef6-5e71-a4ad-73202d726b4f,tg:lhbr:79223,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:79223,record identifiers,https://data.letterenhuis.be/ark:/24970/9a8947cd-bef6-5e71-a4ad-73202d726b4f,object identifier,Brieven,,,,,,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8320ed54-8340-47de-9f0e-d29722385206"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c19a2110-6b9a-4550-8c48-2d7ca976af72"", ""inverseOntologyProperty"": """"}]"
9a8947cd-bef6-5e71-a4ad-73202d726b4f,tg:lhbr:79223,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.0,2066,In Copyright,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,tg:lhbr:79223,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19510420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,tg:lhbr:79223,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1951-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,tg:lhbr:79223,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000074576,referentienummer,False,,,,,,,,,,,,,,,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:79223,brocade id,False,,,,,,,,,,,,,,,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:79223/N,brocade url,False,,,,,,,,,,,,,,,
9a8947cd-bef6-5e71-a4ad-73202d726b4f,tg:lhbr:79223,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""72723314-7f7f-5e1f-98ef-c54750c8b639"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4700e718-e5b8-4cbd-a738-6945cec47fcd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
