ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,tg:lhbr:98885,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:98885,record identifiers,https://data.letterenhuis.be/ark:/24970/9ae75ab5-27bc-5c8f-b85e-731b01eeb068,object identifier,Brieven,,,,,,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8208993d-0142-4c67-a029-754ee69eb93a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4f36432e-39c9-4b55-990d-8794c3472753"", ""inverseOntologyProperty"": """"}]"
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,tg:lhbr:98885,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.0,2072,In Copyright,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,tg:lhbr:98885,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19570321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,tg:lhbr:98885,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1957-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,tg:lhbr:98885,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000092839,referentienummer,False,,,,,,,,,,,,,,,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:98885,brocade id,False,,,,,,,,,,,,,,,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:98885/N,brocade url,False,,,,,,,,,,,,,,,
9ae75ab5-27bc-5c8f-b85e-731b01eeb068,tg:lhbr:98885,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6d1ea7c4-7aa1-5d4c-9047-30ce52d61e3c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a3ad5907-1eb6-4115-b898-0429fb09fff4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
