ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
9d63e486-bafc-52a8-8672-4f452b1e2af7,tg:lhbr:287282,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:287282,record identifiers,https://data.letterenhuis.be/ark:/24970/9d63e486-bafc-52a8-8672-4f452b1e2af7,object identifier,Brieven,,,,,,
9d63e486-bafc-52a8-8672-4f452b1e2af7,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6ebe8107-0299-4f2d-b933-2623d84a8c2d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e394879-0147-408d-9cbf-21cf335adfc4"", ""inverseOntologyProperty"": """"}]"
9d63e486-bafc-52a8-8672-4f452b1e2af7,tg:lhbr:287282,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.0,2103,In Copyright,
9d63e486-bafc-52a8-8672-4f452b1e2af7,tg:lhbr:287282,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19880329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d63e486-bafc-52a8-8672-4f452b1e2af7,tg:lhbr:287282,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1988-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d63e486-bafc-52a8-8672-4f452b1e2af7,tg:lhbr:287282,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
9d63e486-bafc-52a8-8672-4f452b1e2af7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000275805,referentienummer,False,,,,,,,,,,,,,,,
9d63e486-bafc-52a8-8672-4f452b1e2af7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:287282,brocade id,False,,,,,,,,,,,,,,,
9d63e486-bafc-52a8-8672-4f452b1e2af7,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:287282/N,brocade url,False,,,,,,,,,,,,,,,
9d63e486-bafc-52a8-8672-4f452b1e2af7,tg:lhbr:287282,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 brgr,groepsbeschrijving,False,3,brgr,,,,,,,,,,,,,
