ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:142808,record identifiers,https://data.letterenhuis.be/ark:/24970/9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,object identifier,Brieven,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""43d95d6e-e676-4a78-ba4e-fdf8db4634ce"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b60f7358-20c6-4565-8698-92789f57c19e"", ""inverseOntologyProperty"": """"}]"
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.0,2046,In Copyright,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19310202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1931-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000134568,referentienummer,False,,,,,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:142808,brocade id,False,,,,,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:142808/N,brocade url,False,,,,,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f6f9f694-3a29-5e36-988a-05b904319fb6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a44db9ac-b952-4b00-815f-9426c474523c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,e73_Titles,,,au::18442,,,,lhbr,lhbr,Brief,459d39d8-68ee-59d6-9696-e042ccd2bbde,bs,,au::18442:1,au::18442g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1973294"",""au::18442"",""au::18442:1"",""ark:/83110/x0/459d39d8-68ee-59d6-9696-e042ccd2bbde"",""Jan Timmermans"",""ark:/83110/x0/e7d5cb24-b8e8-5670-90e3-5a2dd1dff05a""],""name"":""Jan Timmermans"",""ark"":""ark:/83110/x0/e7d5cb24-b8e8-5670-90e3-5a2dd1dff05a"",""uri"":""/agents/people/1973294"",""id"":""au::18442:1"",""resourceArk"":""ark:/83110/x0/459d39d8-68ee-59d6-9696-e042ccd2bbde"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/459d39d8-68ee-59d6-9696-e042ccd2bbde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fb7514f-d2e8-5e23-bdfd-5151bb29c9e3,tg:lhbr:142808,e73_Titles,,,au::11376:::SEV.1,,,,lhbr,lhbr,Brief,c345f7a5-7f51-50a1-922d-c6dbb513b2e5,co,,au::11376:1::SEV.1,au::11376g:1::SEV.1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1217232"",""au::11376"",""au::11376:1"",""ark:/83110/x0/bc765a3a-0f25-53b5-b82b-bcf0f05fe77c"",""Paul Lepage [Secretaris van De Ring [Muziekuitgaven]]"",""ark:/83110/x0/d45ed923-3d0e-58d4-8296-8e959697af2d"",""au::11376:1::SEV.1"",""au::11376:1::SEV::au::15751""],""name"":""Paul Lepage [Secretaris van De Ring [Muziekuitgaven]]"",""ark"":""ark:/83110/x0/d45ed923-3d0e-58d4-8296-8e959697af2d"",""uri"":""/agents/people/1217232"",""id"":""au::11376:1::SEV::au::15751"",""resourceArk"":""ark:/83110/x0/bc765a3a-0f25-53b5-b82b-bcf0f05fe77c"",""resourceID"":""au::11376:1"",""capacity"":""Secretaris van De Ring [Muziekuitgaven]"",""isCapacity"":true,""relatorRaw"":""au::11376:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/bc765a3a-0f25-53b5-b82b-bcf0f05fe77c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
