ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a088d20b-0134-5b52-8377-4aeac269d0c2,tg:lhbr:45104,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:45104,record identifiers,https://data.letterenhuis.be/ark:/24970/a088d20b-0134-5b52-8377-4aeac269d0c2,object identifier,Brieven,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b3a5db30-9145-4708-a61d-7b5d69828911"", ""ontologyProperty"": """", ""resourceXresourceId"": ""945aca25-a442-491b-b51a-ddcb9451ca43"", ""inverseOntologyProperty"": """"}]"
a088d20b-0134-5b52-8377-4aeac269d0c2,tg:lhbr:45104,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,2065,In Copyright,
a088d20b-0134-5b52-8377-4aeac269d0c2,tg:lhbr:45104,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19501214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,tg:lhbr:45104,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1950-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,tg:lhbr:45104,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000043470,referentienummer,False,,,,,,,,,,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:45104,brocade id,False,,,,,,,,,,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:45104/N,brocade url,False,,,,,,,,,,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,tg:lhbr:45104,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0caa010f-dae6-5cc9-8f63-0c09963567d7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""57ca21df-63fb-419f-92f6-95c4af308121"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
a088d20b-0134-5b52-8377-4aeac269d0c2,tg:lhbr:45104,e73_Titles,,,au::5441,,,,lhbr,lhbr,Brief,72505e9c-b9f4-593a-89f1-3238e6cb652d,bs,,au::5441:1,au::5441g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/582187"",""au::5441"",""au::5441:1"",""ark:/83110/x0/72505e9c-b9f4-593a-89f1-3238e6cb652d"",""Fernand Desonay"",""ark:/83110/x0/c8c4262f-652e-5745-99db-59714feb81fd""],""name"":""Fernand Desonay"",""ark"":""ark:/83110/x0/c8c4262f-652e-5745-99db-59714feb81fd"",""uri"":""/agents/people/582187"",""id"":""au::5441:1"",""resourceArk"":""ark:/83110/x0/72505e9c-b9f4-593a-89f1-3238e6cb652d"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/72505e9c-b9f4-593a-89f1-3238e6cb652d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
