ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:106102,record identifiers,https://data.letterenhuis.be/ark:/24970/a0be950e-50f3-56f8-824c-498e4ca0ac8e,object identifier,Brieven,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9138fa4a-d35d-4c77-ac06-1b2eab418a9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5137c11c-0650-4dbc-b1a9-0922e6aa67ec"", ""inverseOntologyProperty"": """"}]"
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.0,2050,In Copyright,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1935-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000099891,referentienummer,False,,,,,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:106102,brocade id,False,,,,,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:106102/N,brocade url,False,,,,,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e9d1ac97-40cc-51a9-afa1-e48db0b9d777"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d116b226-4e71-40f2-8266-c3f12d8e8bc6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,e73_Titles,,,au::13267:::HRV.1,,,,lhbr,lhbr,Brief,47eec25b-0f33-5e08-82e4-9fbdfa1207cf,bs,,au::13267:1::HRV.1,au::13267g:1::HRV.1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1419569"",""au::13267"",""au::13267:1"",""ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be"",""Jozef Muls [Hoofdredacteur van Maandblad voor Oude en Jonge Kunst]"",""ark:/83110/x0/cd743998-af68-5e79-8e62-aae9612a1241"",""au::13267:1::HRV.1"",""au::13267:1::HRV::au::11917""],""name"":""Jozef Muls [Hoofdredacteur van Maandblad voor Oude en Jonge Kunst]"",""ark"":""ark:/83110/x0/cd743998-af68-5e79-8e62-aae9612a1241"",""uri"":""/agents/people/1419569"",""id"":""au::13267:1::HRV::au::11917"",""resourceArk"":""ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be"",""resourceID"":""au::13267:1"",""capacity"":""Hoofdredacteur van Maandblad voor Oude en Jonge Kunst"",""isCapacity"":true,""relatorRaw"":""au::13267:1::HRV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0be950e-50f3-56f8-824c-498e4ca0ac8e,tg:lhbr:106102,e73_Titles,,,au::20895,,,,lhbr,lhbr,Brief,7bb6171e-48d1-58b1-9564-7a34b56bb944,co,,au::20895:1,au::20895g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/2235765"",""au::20895"",""au::20895:1"",""ark:/83110/x0/7bb6171e-48d1-58b1-9564-7a34b56bb944"",""André Vyncke"",""ark:/83110/x0/3d7b91b4-9512-558f-b59f-171e97df074e""],""name"":""André Vyncke"",""ark"":""ark:/83110/x0/3d7b91b4-9512-558f-b59f-171e97df074e"",""uri"":""/agents/people/2235765"",""id"":""au::20895:1"",""resourceArk"":""ark:/83110/x0/7bb6171e-48d1-58b1-9564-7a34b56bb944"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7bb6171e-48d1-58b1-9564-7a34b56bb944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
