ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:27637,record identifiers,https://data.letterenhuis.be/ark:/24970/a2f98dd3-4c7e-575e-a575-b4ba351ba71a,object identifier,Brieven,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2a25e816-d49b-4dc7-af96-c74d53b19ddc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ba45f122-4008-457e-b017-075e791e9856"", ""inverseOntologyProperty"": """"}]"
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925.0,2040,In Copyright,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19250419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1925-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000026580,referentienummer,False,,,,,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:27637,brocade id,False,,,,,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:27637/N,brocade url,False,,,,,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a63db667-3b37-5e02-8390-c44a1df42d9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""383af2e8-c7ac-47a1-b18a-9b76b84bcb77"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,e73_Titles,,,au::3664,,,,lhbr,lhbr,Brief,cb527b63-a6a8-56a5-bce5-1864758afb64,bs,,au::3664:1,au::3664g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/392048"",""au::3664"",""au::3664:1"",""ark:/83110/x0/cb527b63-a6a8-56a5-bce5-1864758afb64"",""Frans van Cauwelaert"",""ark:/83110/x0/d1bb2718-5cdd-527d-b42b-341f7eb73860""],""name"":""Frans van Cauwelaert"",""ark"":""ark:/83110/x0/d1bb2718-5cdd-527d-b42b-341f7eb73860"",""uri"":""/agents/people/392048"",""id"":""au::3664:1"",""resourceArk"":""ark:/83110/x0/cb527b63-a6a8-56a5-bce5-1864758afb64"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/cb527b63-a6a8-56a5-bce5-1864758afb64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2f98dd3-4c7e-575e-a575-b4ba351ba71a,tg:lhbr:27637,e73_Titles,,,au::8984:::GVV.1,,,,lhbr,lhbr,Brief,1c290102-7292-5ed8-8af4-ad8a2d273eb8,co,,au::8984:1::GVV.1,au::8984g:1::GVV.1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/961288"",""au::8984"",""au::8984:1"",""ark:/83110/x0/deef1d90-cb19-5973-acf5-91c5fe52f1a2"",""Georges L. Holvoet [Provinciegouverneur van Antwerpen (Vlaanderen)]"",""ark:/83110/x0/69b4b60e-8ddc-5ddf-8fdf-7f5f61f3eace"",""au::8984:1::GVV.1"",""au::8984:1::GVV::au::100138""],""name"":""Georges L. Holvoet [Provinciegouverneur van Antwerpen (Vlaanderen)]"",""ark"":""ark:/83110/x0/69b4b60e-8ddc-5ddf-8fdf-7f5f61f3eace"",""uri"":""/agents/people/961288"",""id"":""au::8984:1::GVV::au::100138"",""resourceArk"":""ark:/83110/x0/deef1d90-cb19-5973-acf5-91c5fe52f1a2"",""resourceID"":""au::8984:1"",""capacity"":""Provinciegouverneur van Antwerpen (Vlaanderen)"",""isCapacity"":true,""relatorRaw"":""au::8984:1::GVV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/deef1d90-cb19-5973-acf5-91c5fe52f1a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
