ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,tg:lhbr:171484,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:171484,record identifiers,https://data.letterenhuis.be/ark:/24970/a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,object identifier,Brieven,,,,,,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ed50e4d2-69a5-49f3-a2f9-5b1338eb7bed"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1d0d5cb9-ef3d-4148-9b35-b6582b30ab58"", ""inverseOntologyProperty"": """"}]"
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,tg:lhbr:171484,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926.0,2041,In Copyright,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,tg:lhbr:171484,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19260615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,tg:lhbr:171484,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1926-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,tg:lhbr:171484,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000161377,referentienummer,False,,,,,,,,,,,,,,,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:171484,brocade id,False,,,,,,,,,,,,,,,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:171484/N,brocade url,False,,,,,,,,,,,,,,,
a5ff3f53-b85d-55a6-a220-f0d9e9066ee1,tg:lhbr:171484,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cac49333-552a-5920-9dab-f6e89509bb6a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e90ae1ea-6210-4297-8bcb-55749ce4f50e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
