ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:66524,record identifiers,https://data.letterenhuis.be/ark:/24970/a693d088-d65e-58cf-8628-eb8eb5422f08,object identifier,Brieven,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0c0d2238-9f11-4a19-86b4-a110275d6c69"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ac20e12d-e60d-42f3-8ab9-ad151ec14760"", ""inverseOntologyProperty"": """"}]"
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985.0,2100,In Copyright,
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19850321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1985-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000063774,referentienummer,False,,,,,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:66524,brocade id,False,,,,,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:66524/N,brocade url,False,,,,,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""745d9d8e-354c-5ef4-817c-f5a615054200"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0a9239c1-4654-45a3-81eb-64c246a0cf3f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,e73_Titles,,,au::8058,,,,lhbr,lhbr,Brief,9baa413a-02cf-5061-a2a1-fb0bd678ad70,bs,,au::8058:1,au::8058g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/862206"",""au::8058"",""au::8058:1"",""ark:/83110/x0/9baa413a-02cf-5061-a2a1-fb0bd678ad70"",""Domien de Gruyter"",""ark:/83110/x0/fa23bc66-6372-5f50-92a8-fe7abd3ba24e""],""name"":""Domien de Gruyter"",""ark"":""ark:/83110/x0/fa23bc66-6372-5f50-92a8-fe7abd3ba24e"",""uri"":""/agents/people/862206"",""id"":""au::8058:1"",""resourceArk"":""ark:/83110/x0/9baa413a-02cf-5061-a2a1-fb0bd678ad70"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9baa413a-02cf-5061-a2a1-fb0bd678ad70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a693d088-d65e-58cf-8628-eb8eb5422f08,tg:lhbr:66524,e73_Titles,,,au::3012,,,,lhbr,lhbr,Brief,d75d8b91-84a8-53af-bb96-2585d0905eec,co,,au::3012:1,au::3012g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/322284"",""au::3012"",""au::3012:1"",""ark:/83110/x0/d75d8b91-84a8-53af-bb96-2585d0905eec"",""Toon Brouwers"",""ark:/83110/x0/9732b955-f416-521a-aeac-1f8b35c9443b""],""name"":""Toon Brouwers"",""ark"":""ark:/83110/x0/9732b955-f416-521a-aeac-1f8b35c9443b"",""uri"":""/agents/people/322284"",""id"":""au::3012:1"",""resourceArk"":""ark:/83110/x0/d75d8b91-84a8-53af-bb96-2585d0905eec"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d75d8b91-84a8-53af-bb96-2585d0905eec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
