ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,tg:lhbr:232951,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:232951,record identifiers,https://data.letterenhuis.be/ark:/24970/a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,object identifier,Brieven,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""806e1336-759d-4b8f-a242-f3c8f7f3869a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""acf8d47c-e2bf-42db-97f4-2130dfdf716a"", ""inverseOntologyProperty"": """"}]"
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,tg:lhbr:232951,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,tg:lhbr:232951,e73_Languages,1,kenmerken.lhlanguagehs,ger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German (language),,,,,,,,,,,,,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000222139,referentienummer,False,,,,,,,,,,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aankoop.,commentaar gebruiker,False,,,,,,,,,,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:232951,brocade id,False,,,,,,,,,,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:232951/N,brocade url,False,,,,,,,,,,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,tg:lhbr:232951,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c7cb6555-37fe-5234-b00d-4f30a844e961"", ""ontologyProperty"": """", ""resourceXresourceId"": ""81df9134-5aaa-472c-9b63-3f68d1e4fe80"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,tg:lhbr:232951,e73_Titles,,,au::57345,,,,lhbr,lhbr,Brief,d303a487-3b2c-5f5d-aa0c-a894549f74af,bs,,au::57345:1,au::57345g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/6135915"",""au::57345"",""au::57345:1"",""ark:/83110/x0/d303a487-3b2c-5f5d-aa0c-a894549f74af"",""Heinrich Barth"",""ark:/83110/x0/87aa25e5-6671-5d39-9d94-5d6dc53bf0a6""],""name"":""Heinrich Barth"",""ark"":""ark:/83110/x0/87aa25e5-6671-5d39-9d94-5d6dc53bf0a6"",""uri"":""/agents/people/6135915"",""id"":""au::57345:1"",""resourceArk"":""ark:/83110/x0/d303a487-3b2c-5f5d-aa0c-a894549f74af"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d303a487-3b2c-5f5d-aa0c-a894549f74af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a821f5f3-7e52-5cd0-bb8c-1f5baf9835f8,tg:lhbr:232951,e73_Titles,,,au::57220,,,,lhbr,lhbr,Brief,745a748e-41b5-52b6-a38a-942901e8454a,co,,au::57220:1,au::57220g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/6122540"",""au::57220"",""au::57220:1"",""ark:/83110/x0/745a748e-41b5-52b6-a38a-942901e8454a"",""Hubert Ferdinand Kufferath"",""ark:/83110/x0/ca018271-a71e-5ed1-9973-ddeb01906188""],""name"":""Hubert Ferdinand Kufferath"",""ark"":""ark:/83110/x0/ca018271-a71e-5ed1-9973-ddeb01906188"",""uri"":""/agents/people/6122540"",""id"":""au::57220:1"",""resourceArk"":""ark:/83110/x0/745a748e-41b5-52b6-a38a-942901e8454a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/745a748e-41b5-52b6-a38a-942901e8454a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
