ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a978e0e1-2007-5eff-b290-7feab6ca2d46,tg:lhbr:29356,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:29356,record identifiers,https://data.letterenhuis.be/ark:/24970/a978e0e1-2007-5eff-b290-7feab6ca2d46,object identifier,Brieven,,,,,,
a978e0e1-2007-5eff-b290-7feab6ca2d46,tg:lhbr:29356,e73_AnnotationsImmaterial,1,note.lhalg,"<p>2 p.</p>
","<p>2 p.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a978e0e1-2007-5eff-b290-7feab6ca2d46,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5b3ae281-e25c-440d-a8b0-7d048bca031c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""67461964-bc59-4284-9c3c-8f33bf47ca59"", ""inverseOntologyProperty"": """"}]"
a978e0e1-2007-5eff-b290-7feab6ca2d46,tg:lhbr:29356,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0,2031,In Copyright,
a978e0e1-2007-5eff-b290-7feab6ca2d46,tg:lhbr:29356,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19160821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a978e0e1-2007-5eff-b290-7feab6ca2d46,tg:lhbr:29356,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1916-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a978e0e1-2007-5eff-b290-7feab6ca2d46,tg:lhbr:29356,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
a978e0e1-2007-5eff-b290-7feab6ca2d46,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000028299,referentienummer,False,,,,,,,,,,,,,,,
a978e0e1-2007-5eff-b290-7feab6ca2d46,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:29356,brocade id,False,,,,,,,,,,,,,,,
a978e0e1-2007-5eff-b290-7feab6ca2d46,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:29356/N,brocade url,False,,,,,,,,,,,,,,,
