ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,tg:lhbr:303020,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:303020,record identifiers,https://data.letterenhuis.be/ark:/24970/ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,object identifier,Brieven,,,,,,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b2d9f867-10b6-4def-9d3b-8fa40087a7eb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c2e93df7-6c9a-4c2e-bdc3-c91c318fe47d"", ""inverseOntologyProperty"": """"}]"
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,tg:lhbr:303020,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0,2097,In Copyright,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,tg:lhbr:303020,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19820518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,tg:lhbr:303020,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1982-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,tg:lhbr:303020,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000291408,referentienummer,False,,,,,,,,,,,,,,,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:303020,brocade id,False,,,,,,,,,,,,,,,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:303020/N,brocade url,False,,,,,,,,,,,,,,,
ae0b5a26-1be2-5a57-ae3d-8090b5ce1c94,tg:lhbr:303020,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a652c09e-cc1b-5781-ae5f-f2d298f5cf38"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7d15a0a8-4956-45d3-a17e-1d36e314b2f7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
