ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:247565,record identifiers,https://data.letterenhuis.be/ark:/24970/b43b820c-5b0e-5380-ad39-f2f2251c696f,object identifier,Brieven,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4bbcb745-fe86-47f4-aab4-7dde10026ffb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""89c849ae-b893-4f38-8569-d4a938a8ff11"", ""inverseOntologyProperty"": """"}]"
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,2057,In Copyright,
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19421007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1942-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000236476,referentienummer,False,,,,,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:247565,brocade id,False,,,,,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:247565/N,brocade url,False,,,,,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""30feea67-c6c3-598e-b244-2df5077630f3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""452a2085-f195-4674-964a-483aba54f4a9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,e73_Titles,,,au::28241,,,,lhbr,lhbr,Brief,515de0f2-fcac-5e3d-acbc-c1f86808a4f7,bs,,au::28241:1,au::28241g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3021787"",""au::28241"",""au::28241:1"",""ark:/83110/x0/515de0f2-fcac-5e3d-acbc-c1f86808a4f7"",""Henri Mangin"",""ark:/83110/x0/9c982ff7-c54d-5bc1-a6a7-afeb90cacbb1""],""name"":""Henri Mangin"",""ark"":""ark:/83110/x0/9c982ff7-c54d-5bc1-a6a7-afeb90cacbb1"",""uri"":""/agents/people/3021787"",""id"":""au::28241:1"",""resourceArk"":""ark:/83110/x0/515de0f2-fcac-5e3d-acbc-c1f86808a4f7"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/515de0f2-fcac-5e3d-acbc-c1f86808a4f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b43b820c-5b0e-5380-ad39-f2f2251c696f,tg:lhbr:247565,e73_Titles,,,au::4481,,,,lhbr,lhbr,Brief,9f9ad815-9323-5752-9705-37c2d793dd73,co,,au::4481:1,au::4481g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/479467"",""au::4481"",""au::4481:1"",""ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73"",""Arthur Henry Cornette"",""ark:/83110/x0/646ba5f8-971a-504d-8bd9-8b1ab4173d8a""],""name"":""Arthur Henry Cornette"",""ark"":""ark:/83110/x0/646ba5f8-971a-504d-8bd9-8b1ab4173d8a"",""uri"":""/agents/people/479467"",""id"":""au::4481:1"",""resourceArk"":""ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
