ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
b87340a5-0236-573f-855a-f5734184a7d8,tg:lhbr:147983,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:147983,record identifiers,https://data.letterenhuis.be/ark:/24970/b87340a5-0236-573f-855a-f5734184a7d8,object identifier,Brieven,,,,,,
b87340a5-0236-573f-855a-f5734184a7d8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4a9d2ab1-0129-427e-89c0-5cc1ede6f98e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bcaa801a-c483-4223-91f3-ea53d734b188"", ""inverseOntologyProperty"": """"}]"
b87340a5-0236-573f-855a-f5734184a7d8,tg:lhbr:147983,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886.0,2001,No Copyright - Public Domain Mark 1.0,
b87340a5-0236-573f-855a-f5734184a7d8,tg:lhbr:147983,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18860801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b87340a5-0236-573f-855a-f5734184a7d8,tg:lhbr:147983,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1886-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b87340a5-0236-573f-855a-f5734184a7d8,tg:lhbr:147983,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
b87340a5-0236-573f-855a-f5734184a7d8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000139444,referentienummer,False,,,,,,,,,,,,,,,
b87340a5-0236-573f-855a-f5734184a7d8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:147983,brocade id,False,,,,,,,,,,,,,,,
b87340a5-0236-573f-855a-f5734184a7d8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:147983/N,brocade url,False,,,,,,,,,,,,,,,
b87340a5-0236-573f-855a-f5734184a7d8,tg:lhbr:147983,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""03713712-da07-57f0-9281-e93cb42d9820"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4e3fea04-0293-45e0-81cd-1f261c52801c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
