ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
b92391f1-1476-559d-9a0e-2c50745f8e2e,tg:lhbr:111601,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:111601,record identifiers,https://data.letterenhuis.be/ark:/24970/b92391f1-1476-559d-9a0e-2c50745f8e2e,object identifier,Brieven,,,,,,
b92391f1-1476-559d-9a0e-2c50745f8e2e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6f372a06-bcc2-40e4-98ea-b396b9b7077c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""baa7e89a-f9c2-4b65-8ef9-85364fa97c60"", ""inverseOntologyProperty"": """"}]"
b92391f1-1476-559d-9a0e-2c50745f8e2e,tg:lhbr:111601,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.0,2070,In Copyright,
b92391f1-1476-559d-9a0e-2c50745f8e2e,tg:lhbr:111601,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19551210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b92391f1-1476-559d-9a0e-2c50745f8e2e,tg:lhbr:111601,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1955-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b92391f1-1476-559d-9a0e-2c50745f8e2e,tg:lhbr:111601,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
b92391f1-1476-559d-9a0e-2c50745f8e2e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000105084,referentienummer,False,,,,,,,,,,,,,,,
b92391f1-1476-559d-9a0e-2c50745f8e2e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:111601,brocade id,False,,,,,,,,,,,,,,,
b92391f1-1476-559d-9a0e-2c50745f8e2e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:111601/N,brocade url,False,,,,,,,,,,,,,,,
b92391f1-1476-559d-9a0e-2c50745f8e2e,tg:lhbr:111601,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7547409b-35bf-54eb-8cce-f64f22fea01a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e04b8ed9-f87e-4786-8ade-a3345dcff418"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
