ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
b99d649f-da2a-5499-9228-406506d93778,tg:lhbr:1013,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:1013,record identifiers,https://data.letterenhuis.be/ark:/24970/b99d649f-da2a-5499-9228-406506d93778,object identifier,Brieven,,,,,,
b99d649f-da2a-5499-9228-406506d93778,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fa03e207-abba-4fe4-b3e9-8c8b9c88210a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7709adda-753c-48c5-81ab-79f67f53b0f0"", ""inverseOntologyProperty"": """"}]"
b99d649f-da2a-5499-9228-406506d93778,tg:lhbr:1013,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,2074,In Copyright,
b99d649f-da2a-5499-9228-406506d93778,tg:lhbr:1013,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19591008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b99d649f-da2a-5499-9228-406506d93778,tg:lhbr:1013,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1959-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b99d649f-da2a-5499-9228-406506d93778,tg:lhbr:1013,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
b99d649f-da2a-5499-9228-406506d93778,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000000944,referentienummer,False,,,,,,,,,,,,,,,
b99d649f-da2a-5499-9228-406506d93778,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:1013,brocade id,False,,,,,,,,,,,,,,,
b99d649f-da2a-5499-9228-406506d93778,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:1013/N,brocade url,False,,,,,,,,,,,,,,,
b99d649f-da2a-5499-9228-406506d93778,tg:lhbr:1013,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a754e055-e446-54fc-9888-58f4f8bb541e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""15d9d98e-0b01-487d-829d-eb1f22f5b3a1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
