ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
bd95bd23-73b0-52b4-a116-827fa212f992,tg:lhbr:200505,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:200505,record identifiers,https://data.letterenhuis.be/ark:/24970/bd95bd23-73b0-52b4-a116-827fa212f992,object identifier,Brieven,,,,,,
bd95bd23-73b0-52b4-a116-827fa212f992,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""725b40f0-8672-4343-a368-de094a6f9f2f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0df6d459-5b2a-4f50-afd6-733dfd0fe072"", ""inverseOntologyProperty"": """"}]"
bd95bd23-73b0-52b4-a116-827fa212f992,tg:lhbr:200505,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.0,2083,In Copyright,
bd95bd23-73b0-52b4-a116-827fa212f992,tg:lhbr:200505,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19680605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd95bd23-73b0-52b4-a116-827fa212f992,tg:lhbr:200505,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1968-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd95bd23-73b0-52b4-a116-827fa212f992,tg:lhbr:200505,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
bd95bd23-73b0-52b4-a116-827fa212f992,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000190074,referentienummer,False,,,,,,,,,,,,,,,
bd95bd23-73b0-52b4-a116-827fa212f992,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:200505,brocade id,False,,,,,,,,,,,,,,,
bd95bd23-73b0-52b4-a116-827fa212f992,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:200505/N,brocade url,False,,,,,,,,,,,,,,,
bd95bd23-73b0-52b4-a116-827fa212f992,tg:lhbr:200505,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""375fdad0-d257-504a-895b-22cf400d7e39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a6e45e1a-47f1-465e-a2e4-6146c663be25"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
