ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
c03a4167-7270-5787-8b0e-12915b6645c8,tg:lhbr:166744,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:166744,record identifiers,https://data.letterenhuis.be/ark:/24970/c03a4167-7270-5787-8b0e-12915b6645c8,object identifier,Brieven,,,,,,
c03a4167-7270-5787-8b0e-12915b6645c8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0946c334-a521-4038-a0f6-3ad838e711eb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""33a6c032-347b-49db-9422-d80cae5a93de"", ""inverseOntologyProperty"": """"}]"
c03a4167-7270-5787-8b0e-12915b6645c8,tg:lhbr:166744,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888.0,2003,No Copyright - Public Domain Mark 1.0,
c03a4167-7270-5787-8b0e-12915b6645c8,tg:lhbr:166744,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18880712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c03a4167-7270-5787-8b0e-12915b6645c8,tg:lhbr:166744,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1888-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c03a4167-7270-5787-8b0e-12915b6645c8,tg:lhbr:166744,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
c03a4167-7270-5787-8b0e-12915b6645c8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000157177,referentienummer,False,,,,,,,,,,,,,,,
c03a4167-7270-5787-8b0e-12915b6645c8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:166744,brocade id,False,,,,,,,,,,,,,,,
c03a4167-7270-5787-8b0e-12915b6645c8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:166744/N,brocade url,False,,,,,,,,,,,,,,,
c03a4167-7270-5787-8b0e-12915b6645c8,tg:lhbr:166744,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""84f02f19-b5a9-5b5c-9e80-95b939ea9ef1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2fba1350-da25-493b-afb2-d59f3d69b916"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
