ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:244385,record identifiers,https://data.letterenhuis.be/ark:/24970/c070a6e6-8242-5a97-98d3-4b5940e99c50,object identifier,Brieven,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8729af12-b342-4aa7-b1fd-2555c93e588d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""50415cf6-4ff4-4e2f-a704-a2ee58d5b30b"", ""inverseOntologyProperty"": """"}]"
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,1965,No Copyright - Public Domain Mark 1.0,
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18500710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1850-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000233348,referentienummer,False,,,,,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:244385,brocade id,False,,,,,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:244385/N,brocade url,False,,,,,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""76bbeb70-4eca-5c33-9b94-ab65224344ec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c98fd38a-dba6-44b5-b765-fb3a822116cf"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,e73_Titles,,,au::110518,,,,lhbr,lhbr,Brief,97369e03-75bf-57fd-8057-11918d0be9fa,bs,,au::110518:1,au::110518g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11825426"",""au::110518"",""au::110518:1"",""ark:/83110/x0/97369e03-75bf-57fd-8057-11918d0be9fa"",""Jacob Wiener"",""ark:/83110/x0/2dee59d0-6a88-5b0f-bd54-46eb63fff484""],""name"":""Jacob Wiener"",""ark"":""ark:/83110/x0/2dee59d0-6a88-5b0f-bd54-46eb63fff484"",""uri"":""/agents/people/11825426"",""id"":""au::110518:1"",""resourceArk"":""ark:/83110/x0/97369e03-75bf-57fd-8057-11918d0be9fa"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/97369e03-75bf-57fd-8057-11918d0be9fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c070a6e6-8242-5a97-98d3-4b5940e99c50,tg:lhbr:244385,e73_Titles,,,au::6111,,,,lhbr,lhbr,Brief,74430b3a-282d-5013-b777-363c2b882eaa,co,,au::6111:1,au::6111g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/653877"",""au::6111"",""au::6111:1"",""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""Prudens van Duyse"",""ark:/83110/x0/92fa9bfb-8ce1-5b96-a70a-cfeb80e4fdbe""],""name"":""Prudens van Duyse"",""ark"":""ark:/83110/x0/92fa9bfb-8ce1-5b96-a70a-cfeb80e4fdbe"",""uri"":""/agents/people/653877"",""id"":""au::6111:1"",""resourceArk"":""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
