ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,tg:lhbr:188786,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:188786,record identifiers,https://data.letterenhuis.be/ark:/24970/c66e5f6f-2755-52f7-b4a1-24c066f54f5b,object identifier,Brieven,,,,,,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a5ed9e0e-20a1-475b-8555-53b2d7975a6f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4ec1d3ea-859d-4dfa-963a-ba68cb9bc84e"", ""inverseOntologyProperty"": """"}]"
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,tg:lhbr:188786,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.0,2070,In Copyright,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,tg:lhbr:188786,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19550303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,tg:lhbr:188786,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1955-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,tg:lhbr:188786,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000178469,referentienummer,False,,,,,,,,,,,,,,,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:188786,brocade id,False,,,,,,,,,,,,,,,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:188786/N,brocade url,False,,,,,,,,,,,,,,,
c66e5f6f-2755-52f7-b4a1-24c066f54f5b,tg:lhbr:188786,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7f149522-5528-52fa-8210-bcd7843c9c64"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e9068e8f-d5dc-4e17-8f75-80a445bc4592"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
