ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
cbb12fe1-7745-5337-a4f6-9e3d091116c2,tg:lhbr:248412,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:248412,record identifiers,https://data.letterenhuis.be/ark:/24970/cbb12fe1-7745-5337-a4f6-9e3d091116c2,object identifier,Brieven,,,,,,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""dbbfc07e-0ffa-4d8f-b04e-4d626d2c0e0b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""319c875f-2ab3-41dd-9f98-2c487fa22261"", ""inverseOntologyProperty"": """"}]"
cbb12fe1-7745-5337-a4f6-9e3d091116c2,tg:lhbr:248412,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.0,2052,In Copyright,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,tg:lhbr:248412,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19370211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,tg:lhbr:248412,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1937-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,tg:lhbr:248412,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000237314,referentienummer,False,,,,,,,,,,,,,,,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:248412,brocade id,False,,,,,,,,,,,,,,,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:248412/N,brocade url,False,,,,,,,,,,,,,,,
cbb12fe1-7745-5337-a4f6-9e3d091116c2,tg:lhbr:248412,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9c6f60bf-57ef-53a5-90d3-1e894980a3d3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6ae22a38-5615-46ef-bc3f-eae8ae38cb21"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
