ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:241304,record identifiers,https://data.letterenhuis.be/ark:/24970/ce86f1df-d383-5a80-a50c-3b1b87482afe,object identifier,Brieven,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Met een kopie van een brief van Walter Hus over Medea van Hugo Claus</p>
","<p>Met een kopie van een brief van Walter Hus over Medea van Hugo Claus</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e8028464-78d1-4ea7-b142-68f72aa48c6a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""88376f67-879d-4232-852b-0374e00cf8d6"", ""inverseOntologyProperty"": """"}]"
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,2108,In Copyright,
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19930922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1993-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000230303,referentienummer,False,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:241304,brocade id,False,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:241304/N,brocade url,False,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d3bfc9a1-3fea-5a97-a6ee-c616c8b234a6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""aabbf563-388d-4c23-9972-7aa12737b096"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_Titles,,,au::48232,,,,lhbr,lhbr,Brief,309bc576-633a-5ded-8b87-2e0773384506,bs,,au::48232:1,au::48232g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/5160824"",""au::48232"",""au::48232:1"",""ark:/83110/x0/309bc576-633a-5ded-8b87-2e0773384506"",""Hugo de Greef"",""ark:/83110/x0/c2a42ad2-7ff6-5ed4-89a6-2b5af80ff9a8""],""name"":""Hugo de Greef"",""ark"":""ark:/83110/x0/c2a42ad2-7ff6-5ed4-89a6-2b5af80ff9a8"",""uri"":""/agents/people/5160824"",""id"":""au::48232:1"",""resourceArk"":""ark:/83110/x0/309bc576-633a-5ded-8b87-2e0773384506"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/309bc576-633a-5ded-8b87-2e0773384506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce86f1df-d383-5a80-a50c-3b1b87482afe,tg:lhbr:241304,e73_Titles,,,au::3953,,,,lhbr,lhbr,Brief,978afd13-1056-545c-ab83-987be846b0ad,co,,au::3953:1,au::3953g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/422971"",""au::3953"",""au::3953:1"",""ark:/83110/x0/978afd13-1056-545c-ab83-987be846b0ad"",""Hugo Claus"",""ark:/83110/x0/f9f50e85-419c-5ffe-955f-e8d5fea647ed""],""name"":""Hugo Claus"",""ark"":""ark:/83110/x0/f9f50e85-419c-5ffe-955f-e8d5fea647ed"",""uri"":""/agents/people/422971"",""id"":""au::3953:1"",""resourceArk"":""ark:/83110/x0/978afd13-1056-545c-ab83-987be846b0ad"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/978afd13-1056-545c-ab83-987be846b0ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
