ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,tg:lhbr:228431,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:228431,record identifiers,https://data.letterenhuis.be/ark:/24970/d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,object identifier,Brieven,,,,,,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,tg:lhbr:228431,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Verjaardagswens m.b.t. tentoonstelling in Galerie La Hune 08-03-1966.</p>
","<p>Verjaardagswens m.b.t. tentoonstelling in Galerie La Hune 08-03-1966.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6cfd399c-bd02-4555-8e53-fc611fb0205f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e576bcb-b8b6-4ab6-af49-2c6c407124df"", ""inverseOntologyProperty"": """"}]"
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,tg:lhbr:228431,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,2081,In Copyright,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,tg:lhbr:228431,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19660310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,tg:lhbr:228431,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1966-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,tg:lhbr:228431,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000217671,referentienummer,False,,,,,,,,,,,,,,,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:228431,brocade id,False,,,,,,,,,,,,,,,
d17b6b22-c80e-5e7d-9f83-d7dbbccf14bf,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:228431/N,brocade url,False,,,,,,,,,,,,,,,
