ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d28e93e2-080d-5428-80b0-6a19197c41a2,tg:lhbr:209172,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:209172,record identifiers,https://data.letterenhuis.be/ark:/24970/d28e93e2-080d-5428-80b0-6a19197c41a2,object identifier,Brieven,,,,,,
d28e93e2-080d-5428-80b0-6a19197c41a2,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c642f70d-2376-47a9-990c-7817fd556636"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3a031063-7f8a-4a8d-9d0a-403ac5aef24e"", ""inverseOntologyProperty"": """"}]"
d28e93e2-080d-5428-80b0-6a19197c41a2,tg:lhbr:209172,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,2091,In Copyright,
d28e93e2-080d-5428-80b0-6a19197c41a2,tg:lhbr:209172,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19760122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d28e93e2-080d-5428-80b0-6a19197c41a2,tg:lhbr:209172,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1976-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d28e93e2-080d-5428-80b0-6a19197c41a2,tg:lhbr:209172,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d28e93e2-080d-5428-80b0-6a19197c41a2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000198670,referentienummer,False,,,,,,,,,,,,,,,
d28e93e2-080d-5428-80b0-6a19197c41a2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:209172,brocade id,False,,,,,,,,,,,,,,,
d28e93e2-080d-5428-80b0-6a19197c41a2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:209172/N,brocade url,False,,,,,,,,,,,,,,,
d28e93e2-080d-5428-80b0-6a19197c41a2,tg:lhbr:209172,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""63eef13d-0f50-5eab-88a7-f9c1fc896f14"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8776185e-4505-4f75-8d07-2999568bf515"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
