ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d4572d45-efc7-5a74-b92d-37c86dc740da,tg:lhbr:49246,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:49246,record identifiers,https://data.letterenhuis.be/ark:/24970/d4572d45-efc7-5a74-b92d-37c86dc740da,object identifier,Brieven,,,,,,
d4572d45-efc7-5a74-b92d-37c86dc740da,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""33100eb9-1e10-4337-8c78-5fb194f2b1fc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b57e25db-7912-4adf-a871-aa96e9a68190"", ""inverseOntologyProperty"": """"}]"
d4572d45-efc7-5a74-b92d-37c86dc740da,tg:lhbr:49246,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936.0,2051,In Copyright,
d4572d45-efc7-5a74-b92d-37c86dc740da,tg:lhbr:49246,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19361209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4572d45-efc7-5a74-b92d-37c86dc740da,tg:lhbr:49246,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1936-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4572d45-efc7-5a74-b92d-37c86dc740da,tg:lhbr:49246,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d4572d45-efc7-5a74-b92d-37c86dc740da,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000047433,referentienummer,False,,,,,,,,,,,,,,,
d4572d45-efc7-5a74-b92d-37c86dc740da,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:49246,brocade id,False,,,,,,,,,,,,,,,
d4572d45-efc7-5a74-b92d-37c86dc740da,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:49246/N,brocade url,False,,,,,,,,,,,,,,,
d4572d45-efc7-5a74-b92d-37c86dc740da,tg:lhbr:49246,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e214d999-e48b-587a-89c7-c36194be2a3e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""14953c69-555e-4462-8f02-73870d4f8bfb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
