ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:272937,record identifiers,https://data.letterenhuis.be/ark:/24970/d45bd58d-0120-52be-b922-588730f8997f,object identifier,Brieven,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""baded317-106b-4c19-904a-49a66e7ea1a1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""100e9ab2-7b67-4c28-8887-5582e75c307a"", ""inverseOntologyProperty"": """"}]"
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.0,2092,In Copyright,
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19770612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1977-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000261590,referentienummer,False,,,,,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:272937,brocade id,False,,,,,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:272937/N,brocade url,False,,,,,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2bbbdf58-40a8-58b0-8f4c-45d5ce810396"", ""ontologyProperty"": """", ""resourceXresourceId"": ""84f24671-b8bc-4833-94f2-13a086a0a4dd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,e73_Titles,,,au::55879,,,,lhbr,lhbr,Brief,846a72f5-37ed-5143-8f4c-d8c6ccbf71c3,bs,,au::55879:1,au::55879g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/5979053"",""au::55879"",""au::55879:1"",""ark:/83110/x0/846a72f5-37ed-5143-8f4c-d8c6ccbf71c3"",""Jan Ghekiere"",""ark:/83110/x0/657685db-1294-5e93-886d-7f1e24e0a0f4""],""name"":""Jan Ghekiere"",""ark"":""ark:/83110/x0/657685db-1294-5e93-886d-7f1e24e0a0f4"",""uri"":""/agents/people/5979053"",""id"":""au::55879:1"",""resourceArk"":""ark:/83110/x0/846a72f5-37ed-5143-8f4c-d8c6ccbf71c3"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/846a72f5-37ed-5143-8f4c-d8c6ccbf71c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d45bd58d-0120-52be-b922-588730f8997f,tg:lhbr:272937,e73_Titles,,,au::12652,,,,lhbr,lhbr,Brief,5b7d922b-7c09-52e7-87b8-3d3a0c0cc093,co,,au::12652:1,au::12652g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1353764"",""au::12652"",""au::12652:1"",""ark:/83110/x0/5b7d922b-7c09-52e7-87b8-3d3a0c0cc093"",""Frans Mertens"",""ark:/83110/x0/039ff5e9-b2ed-5f9e-815f-267cc1682f43""],""name"":""Frans Mertens"",""ark"":""ark:/83110/x0/039ff5e9-b2ed-5f9e-815f-267cc1682f43"",""uri"":""/agents/people/1353764"",""id"":""au::12652:1"",""resourceArk"":""ark:/83110/x0/5b7d922b-7c09-52e7-87b8-3d3a0c0cc093"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/5b7d922b-7c09-52e7-87b8-3d3a0c0cc093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
