ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:94857,record identifiers,https://data.letterenhuis.be/ark:/24970/d5a970c0-73c7-5f1b-93f5-2ee5468ee014,object identifier,Brieven,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e455a162-7313-4831-ace0-15fcaf9f9f9b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""549f309d-cb9f-471f-8d13-cf43e954549b"", ""inverseOntologyProperty"": """"}]"
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941.0,2056,In Copyright,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19410919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1941-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000088986,referentienummer,False,,,,,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:94857,brocade id,False,,,,,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:94857/N,brocade url,False,,,,,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2ec121f0-4441-55b9-9669-ee5f22ff8d26"", ""ontologyProperty"": """", ""resourceXresourceId"": ""37ff29fc-7db8-4c1e-a927-e20bce381a98"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,e73_Titles,,,au::12083,,,,lhbr,lhbr,Brief,ad50be12-4eb9-5cca-8513-6172b464a49a,bs,,au::12083:1,au::12083g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1292881"",""au::12083"",""au::12083:1"",""ark:/83110/x0/ad50be12-4eb9-5cca-8513-6172b464a49a"",""Dora Mahy"",""ark:/83110/x0/5072cd56-9b4f-580c-940b-ceda1142a2de""],""name"":""Dora Mahy"",""ark"":""ark:/83110/x0/5072cd56-9b4f-580c-940b-ceda1142a2de"",""uri"":""/agents/people/1292881"",""id"":""au::12083:1"",""resourceArk"":""ark:/83110/x0/ad50be12-4eb9-5cca-8513-6172b464a49a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ad50be12-4eb9-5cca-8513-6172b464a49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5a970c0-73c7-5f1b-93f5-2ee5468ee014,tg:lhbr:94857,e73_Titles,,,au::11671,,,,lhbr,lhbr,Brief,d18f9d5c-fd5d-58dd-a8ee-429dc97bf5e7,co,,au::11671:1,au::11671g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1248797"",""au::11671"",""au::11671:1"",""ark:/83110/x0/d18f9d5c-fd5d-58dd-a8ee-429dc97bf5e7"",""Pliet van Lishout"",""ark:/83110/x0/93b9837f-ae22-5985-8752-6634183d1d9f""],""name"":""Pliet van Lishout"",""ark"":""ark:/83110/x0/93b9837f-ae22-5985-8752-6634183d1d9f"",""uri"":""/agents/people/1248797"",""id"":""au::11671:1"",""resourceArk"":""ark:/83110/x0/d18f9d5c-fd5d-58dd-a8ee-429dc97bf5e7"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d18f9d5c-fd5d-58dd-a8ee-429dc97bf5e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
