ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,tg:lhbr:232466,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:232466,record identifiers,https://data.letterenhuis.be/ark:/24970/d614d24c-1cfb-58f0-a32f-209e9c5d6da4,object identifier,Brieven,,,,,,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""37163fa2-a4a1-4aa7-80bb-2fd23dccf3b7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f9f7169b-cf35-496c-9dfc-6ffe9c0bc2cc"", ""inverseOntologyProperty"": """"}]"
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,tg:lhbr:232466,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0,2077,In Copyright,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,tg:lhbr:232466,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19620222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,tg:lhbr:232466,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1962-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,tg:lhbr:232466,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000221666,referentienummer,False,,,,,,,,,,,,,,,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:232466,brocade id,False,,,,,,,,,,,,,,,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:232466/N,brocade url,False,,,,,,,,,,,,,,,
d614d24c-1cfb-58f0-a32f-209e9c5d6da4,tg:lhbr:232466,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f98dc634-7ad7-589d-9010-5447684ea633"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1b5d37f3-158c-4f63-b111-0f80eb3f8d72"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
