ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d7431a9d-51af-51cb-9607-b0bfa2ab7068,tg:lhbr:113505,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:113505,record identifiers,https://data.letterenhuis.be/ark:/24970/d7431a9d-51af-51cb-9607-b0bfa2ab7068,object identifier,Brieven,,,,,,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""720c32f9-dcb8-42bc-81f1-012a81b266ef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e052c88d-5e93-4f68-895b-4854a20b11c8"", ""inverseOntologyProperty"": """"}]"
d7431a9d-51af-51cb-9607-b0bfa2ab7068,tg:lhbr:113505,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,tg:lhbr:113505,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000106793,referentienummer,False,,,,,,,,,,,,,,,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:113505,brocade id,False,,,,,,,,,,,,,,,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:113505/N,brocade url,False,,,,,,,,,,,,,,,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,tg:lhbr:113505,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d5bc859a-8068-57cc-8115-762cd6a35734"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ce2e29c5-6514-4212-bf15-5f51ab16903d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,tg:lhbr:113505,e73_Titles,,,au::14540:::DIV.2,,,,lhbr,lhbr,Brief,fdd67dc6-8b8e-5b1d-bbd2-ad3b28f37556,bs,,au::14540:1::DIV.2,au::14540g:1::DIV.2,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1555780"",""au::14540"",""au::14540:1"",""ark:/83110/x0/e2c6da85-154a-5b29-891d-67a95c78a80a"",""J. Peeters [Directeur van Sint-Ignatius Handelshogeschool]"",""ark:/83110/x0/a7c953ea-474a-5f28-a9f2-c99ee0007ac2"",""au::14540:1::DIV.2"",""au::14540:1::DIV::au::8325""],""name"":""J. Peeters [Directeur van Sint-Ignatius Handelshogeschool]"",""ark"":""ark:/83110/x0/a7c953ea-474a-5f28-a9f2-c99ee0007ac2"",""uri"":""/agents/people/1555780"",""id"":""au::14540:1::DIV::au::8325"",""resourceArk"":""ark:/83110/x0/e2c6da85-154a-5b29-891d-67a95c78a80a"",""resourceID"":""au::14540:1"",""capacity"":""Directeur van Sint-Ignatius Handelshogeschool"",""isCapacity"":true,""relatorRaw"":""au::14540:1::DIV.2"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e2c6da85-154a-5b29-891d-67a95c78a80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7431a9d-51af-51cb-9607-b0bfa2ab7068,tg:lhbr:113505,e73_Titles,,,au::7773,,,,lhbr,lhbr,Brief,c35adede-e539-5baf-88a9-036823b024d4,co,,au::7773:1,au::7773g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/831711"",""au::7773"",""au::7773:1"",""ark:/83110/x0/c35adede-e539-5baf-88a9-036823b024d4"",""René Goris"",""ark:/83110/x0/a0964f0e-20fa-5cf5-aa27-b301b8ffc23a""],""name"":""René Goris"",""ark"":""ark:/83110/x0/a0964f0e-20fa-5cf5-aa27-b301b8ffc23a"",""uri"":""/agents/people/831711"",""id"":""au::7773:1"",""resourceArk"":""ark:/83110/x0/c35adede-e539-5baf-88a9-036823b024d4"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c35adede-e539-5baf-88a9-036823b024d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
