ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:92773,record identifiers,https://data.letterenhuis.be/ark:/24970/d74723fd-56da-56fe-bf42-481df7960c14,object identifier,Brieven,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d10042ca-91c6-41f5-ad68-b61c20cf38eb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2f9801f4-1380-4d7e-80f5-8317afb8a857"", ""inverseOntologyProperty"": """"}]"
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.0,2019,No Known Copyright,
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19040209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1904-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000087063,referentienummer,False,,,,,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:92773,brocade id,False,,,,,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:92773/N,brocade url,False,,,,,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2c552592-531c-565d-953d-dc0c9bf44459"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c1c771d-cdc4-4ea4-9130-a72eeea68d56"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,e73_Titles,,,au::11713,,,,lhbr,lhbr,Brief,059f9e32-f1a5-5a34-96d5-9d507c1120c5,bs,,au::11713:1,au::11713g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1253291"",""au::11713"",""au::11713:1"",""ark:/83110/x0/059f9e32-f1a5-5a34-96d5-9d507c1120c5"",""Dina Logeman-Van der Willigen"",""ark:/83110/x0/b19a40fe-b3fd-53d0-8798-ed85843ed6b5""],""name"":""Dina Logeman-Van der Willigen"",""ark"":""ark:/83110/x0/b19a40fe-b3fd-53d0-8798-ed85843ed6b5"",""uri"":""/agents/people/1253291"",""id"":""au::11713:1"",""resourceArk"":""ark:/83110/x0/059f9e32-f1a5-5a34-96d5-9d507c1120c5"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/059f9e32-f1a5-5a34-96d5-9d507c1120c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d74723fd-56da-56fe-bf42-481df7960c14,tg:lhbr:92773,e73_Titles,,,au::4088,,,,lhbr,lhbr,Brief,484a6795-8c29-57af-9991-7112adcb5000,co,,au::4088:1,au::4088g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/437416"",""au::4088"",""au::4088:1"",""ark:/83110/x0/484a6795-8c29-57af-9991-7112adcb5000"",""Alfons de Cock"",""ark:/83110/x0/ace89d3f-055d-5da7-9531-db84c2d12b36""],""name"":""Alfons de Cock"",""ark"":""ark:/83110/x0/ace89d3f-055d-5da7-9531-db84c2d12b36"",""uri"":""/agents/people/437416"",""id"":""au::4088:1"",""resourceArk"":""ark:/83110/x0/484a6795-8c29-57af-9991-7112adcb5000"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/484a6795-8c29-57af-9991-7112adcb5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
