ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
d87d4ecb-5cb7-57c7-836b-6398c551fec5,tg:lhbr:15982,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:15982,record identifiers,https://data.letterenhuis.be/ark:/24970/d87d4ecb-5cb7-57c7-836b-6398c551fec5,object identifier,Brieven,,,,,,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""47de2ff2-892d-4f38-9040-7373fc2ea078"", ""ontologyProperty"": """", ""resourceXresourceId"": ""979a1a55-becf-4da1-a70b-7c3b7aaa6df5"", ""inverseOntologyProperty"": """"}]"
d87d4ecb-5cb7-57c7-836b-6398c551fec5,tg:lhbr:15982,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.0,2052,In Copyright,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,tg:lhbr:15982,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19371015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,tg:lhbr:15982,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1937-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,tg:lhbr:15982,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000015309,referentienummer,False,,,,,,,,,,,,,,,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:15982,brocade id,False,,,,,,,,,,,,,,,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:15982/N,brocade url,False,,,,,,,,,,,,,,,
d87d4ecb-5cb7-57c7-836b-6398c551fec5,tg:lhbr:15982,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fd8e0fbc-f17d-506c-bcfd-073e43bc408a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cacaf41c-fb95-4968-86f3-b0b972e3ccee"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
