ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:258184,record identifiers,https://data.letterenhuis.be/ark:/24970/e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,object identifier,Brieven,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9395efcc-ff4e-41a2-bd29-e296153cc05a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""08d860b7-9c97-4efe-80cc-5ca2015db813"", ""inverseOntologyProperty"": """"}]"
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.0,2072,In Copyright,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19570112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1957-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000246972,referentienummer,False,,,,,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:258184,brocade id,False,,,,,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:258184/N,brocade url,False,,,,,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0ff0aef2-c80b-580d-a550-046ef7379dc8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6ea491df-4da4-4b47-a5c3-28b460f4f45b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,e73_Titles,,,au::112103,,,,lhbr,lhbr,Brief,05f66045-32d2-57b0-92ee-b703dbfe9ef1,bs,,au::112103:1,au::112103g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11995021"",""au::112103"",""au::112103:1"",""ark:/83110/x0/05f66045-32d2-57b0-92ee-b703dbfe9ef1"",""André Kestelyn"",""ark:/83110/x0/fa8fbc7f-f59b-5415-9da6-2ce5771e3d70""],""name"":""André Kestelyn"",""ark"":""ark:/83110/x0/fa8fbc7f-f59b-5415-9da6-2ce5771e3d70"",""uri"":""/agents/people/11995021"",""id"":""au::112103:1"",""resourceArk"":""ark:/83110/x0/05f66045-32d2-57b0-92ee-b703dbfe9ef1"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/05f66045-32d2-57b0-92ee-b703dbfe9ef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0e57d8b-c2a7-5ddf-aaf5-0dce2dca6a89,tg:lhbr:258184,e73_Titles,,,au::9752,,,,lhbr,lhbr,Brief,9db23628-b2ea-5982-aebe-0b7e1f9b2541,co,,au::9752:1,au::9752g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1043464"",""au::9752"",""au::9752:1"",""ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541"",""Karel Jonckheere"",""ark:/83110/x0/bcadde57-02f7-500c-b153-fe698a5aa1e5""],""name"":""Karel Jonckheere"",""ark"":""ark:/83110/x0/bcadde57-02f7-500c-b153-fe698a5aa1e5"",""uri"":""/agents/people/1043464"",""id"":""au::9752:1"",""resourceArk"":""ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
