ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
e16db4a1-2ada-512a-b285-4dd449d94a10,tg:lhbr:69915,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:69915,record identifiers,https://data.letterenhuis.be/ark:/24970/e16db4a1-2ada-512a-b285-4dd449d94a10,object identifier,Brieven,,,,,,
e16db4a1-2ada-512a-b285-4dd449d94a10,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3241aaf8-3481-4a7c-9248-269b31bbb418"", ""ontologyProperty"": """", ""resourceXresourceId"": ""28c69a40-9cac-4803-9d68-279c6819607e"", ""inverseOntologyProperty"": """"}]"
e16db4a1-2ada-512a-b285-4dd449d94a10,tg:lhbr:69915,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,2079,In Copyright,
e16db4a1-2ada-512a-b285-4dd449d94a10,tg:lhbr:69915,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19641010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e16db4a1-2ada-512a-b285-4dd449d94a10,tg:lhbr:69915,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1964-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e16db4a1-2ada-512a-b285-4dd449d94a10,tg:lhbr:69915,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
e16db4a1-2ada-512a-b285-4dd449d94a10,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000066928,referentienummer,False,,,,,,,,,,,,,,,
e16db4a1-2ada-512a-b285-4dd449d94a10,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:69915,brocade id,False,,,,,,,,,,,,,,,
e16db4a1-2ada-512a-b285-4dd449d94a10,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:69915/N,brocade url,False,,,,,,,,,,,,,,,
e16db4a1-2ada-512a-b285-4dd449d94a10,tg:lhbr:69915,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8301e34f-7eac-50e9-8970-031f20589408"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0b90c67e-fa95-4d0e-8354-6fb788dc6d92"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
