ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:305458,record identifiers,https://data.letterenhuis.be/ark:/24970/e37c10b4-c3a8-5384-a130-a37f80e384ce,object identifier,Brieven,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6d75fcbc-00bf-4405-bb96-da2cc4ef9060"", ""ontologyProperty"": """", ""resourceXresourceId"": ""72f71316-484e-4d64-9d8f-ac281746c651"", ""inverseOntologyProperty"": """"}]"
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,2074,In Copyright,
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19590518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1959-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000293821,referentienummer,False,,,,,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:305458,brocade id,False,,,,,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:305458/N,brocade url,False,,,,,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c3e2288d-2ac0-5789-8d85-b3705b471243"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0ead3ffa-6f1c-4495-aee7-05467ee95818"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,e73_Titles,,,au::16409,,,,lhbr,lhbr,Brief,aa5f8cba-8e75-5ea8-bcd1-89a01b847e80,bs,,au::16409:1,au::16409g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1755763"",""au::16409"",""au::16409:1"",""ark:/83110/x0/aa5f8cba-8e75-5ea8-bcd1-89a01b847e80"",""Ria Scarphout"",""ark:/83110/x0/a6d0cdca-6f35-5383-b692-cf90be3abfde""],""name"":""Ria Scarphout"",""ark"":""ark:/83110/x0/a6d0cdca-6f35-5383-b692-cf90be3abfde"",""uri"":""/agents/people/1755763"",""id"":""au::16409:1"",""resourceArk"":""ark:/83110/x0/aa5f8cba-8e75-5ea8-bcd1-89a01b847e80"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/aa5f8cba-8e75-5ea8-bcd1-89a01b847e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e37c10b4-c3a8-5384-a130-a37f80e384ce,tg:lhbr:305458,e73_Titles,,,au::8184,,,,lhbr,lhbr,Brief,de8eee39-08c0-5e61-a403-8cbf08b5809e,co,,au::8184:1,au::8184g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/875688"",""au::8184"",""au::8184:1"",""ark:/83110/x0/de8eee39-08c0-5e61-a403-8cbf08b5809e"",""Christine D' haen"",""ark:/83110/x0/260938e5-9d44-5582-9eaf-e7f5c2637c4b""],""name"":""Christine D' haen"",""ark"":""ark:/83110/x0/260938e5-9d44-5582-9eaf-e7f5c2637c4b"",""uri"":""/agents/people/875688"",""id"":""au::8184:1"",""resourceArk"":""ark:/83110/x0/de8eee39-08c0-5e61-a403-8cbf08b5809e"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/de8eee39-08c0-5e61-a403-8cbf08b5809e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
