ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:60914,record identifiers,https://data.letterenhuis.be/ark:/24970/e4a2c00e-37af-599d-8235-f640257bf0c8,object identifier,Brieven,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""94995de3-a998-4c33-8d63-9e56ac480102"", ""ontologyProperty"": """", ""resourceXresourceId"": ""934ee441-dd41-4d89-8084-27e2ea8d1401"", ""inverseOntologyProperty"": """"}]"
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.0,2050,In Copyright,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1935,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000058264,referentienummer,False,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:60914,brocade id,False,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:60914/N,brocade url,False,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 brgr,groepsbeschrijving,False,2,brgr,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d07a6d28-ce18-55d2-8215-72c0f6e8b223"", ""ontologyProperty"": """", ""resourceXresourceId"": ""595cfefb-730a-4c98-aded-7a2be1bc9e71"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_Titles,,,au::7733,,,,lhbr,lhbr,Brief,c675a24e-457d-5bc9-9c72-9640bb831c37,bs,,au::7733:1,au::7733g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/827431"",""au::7733"",""au::7733:1"",""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""Jozef Goossenaerts"",""ark:/83110/x0/d1b74417-2c7c-528f-a869-44c25ad110e1""],""name"":""Jozef Goossenaerts"",""ark"":""ark:/83110/x0/d1b74417-2c7c-528f-a869-44c25ad110e1"",""uri"":""/agents/people/827431"",""id"":""au::7733:1"",""resourceArk"":""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4a2c00e-37af-599d-8235-f640257bf0c8,tg:lhbr:60914,e73_Titles,,,au::31265,,,,lhbr,lhbr,Brief,31b5c066-19ef-50e4-80b5-12d5548d23b4,co,,au::31265:1,au::31265g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/3345355"",""au::31265"",""au::31265:1"",""ark:/83110/x0/31b5c066-19ef-50e4-80b5-12d5548d23b4"",""Jan de Jong"",""ark:/83110/x0/ba11f6c6-499e-54db-9789-51714593b425""],""name"":""Jan de Jong"",""ark"":""ark:/83110/x0/ba11f6c6-499e-54db-9789-51714593b425"",""uri"":""/agents/people/3345355"",""id"":""au::31265:1"",""resourceArk"":""ark:/83110/x0/31b5c066-19ef-50e4-80b5-12d5548d23b4"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/31b5c066-19ef-50e4-80b5-12d5548d23b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
