ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,tg:lhbr:177404,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:177404,record identifiers,https://data.letterenhuis.be/ark:/24970/e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,object identifier,Brieven,,,,,,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1a409ead-9e2e-4110-9702-ab1873a2e7bb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a95cd86f-0378-4808-9af8-b98c08552c12"", ""inverseOntologyProperty"": """"}]"
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,tg:lhbr:177404,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.0,2060,In Copyright,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,tg:lhbr:177404,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19450423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,tg:lhbr:177404,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1945-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,tg:lhbr:177404,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000167246,referentienummer,False,,,,,,,,,,,,,,,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:177404,brocade id,False,,,,,,,,,,,,,,,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:177404/N,brocade url,False,,,,,,,,,,,,,,,
e5b2fd8d-d8f0-5389-a4cd-04a95b47c3dc,tg:lhbr:177404,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""89d0135e-6605-5073-801d-50285e39c0c2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c248b4a6-454b-4d1f-9f68-dcdb773ab6c4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
