ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
e60ed5a2-9c29-59de-9978-fa341c49aff4,tg:lhbr:65100,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:65100,record identifiers,https://data.letterenhuis.be/ark:/24970/e60ed5a2-9c29-59de-9978-fa341c49aff4,object identifier,Brieven,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""486b1266-bc6b-438e-91ce-483290cdd82e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4472923e-55c7-4b4a-a0a4-602e4b13807f"", ""inverseOntologyProperty"": """"}]"
e60ed5a2-9c29-59de-9978-fa341c49aff4,tg:lhbr:65100,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.0,2027,In Copyright,
e60ed5a2-9c29-59de-9978-fa341c49aff4,tg:lhbr:65100,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19120131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,tg:lhbr:65100,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1912-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,tg:lhbr:65100,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000062419,referentienummer,False,,,,,,,,,,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:65100,brocade id,False,,,,,,,,,,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:65100/N,brocade url,False,,,,,,,,,,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,tg:lhbr:65100,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c0700285-1eba-58e6-8826-6ed66d796c41"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f192092e-fcda-4dd9-9c19-899059b4ed96"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
e60ed5a2-9c29-59de-9978-fa341c49aff4,tg:lhbr:65100,e73_Titles,,,au::16511:::VZV.2,,,,lhbr,lhbr,Brief,cc6b2c5e-fec9-5172-bf45-87158db24531,bs,,au::16511:1::VZV.2,au::16511g:1::VZV.2,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1766677"",""au::16511"",""au::16511:1"",""ark:/83110/x0/4d1b2f37-6987-52d0-b460-55ee59623999"",""Willem Schepmans [Voorzitter van De Violieren [Rederijkerskamer]]"",""ark:/83110/x0/d5930bcd-3249-510d-94aa-c4e6dec4f692"",""au::16511:1::VZV.2"",""au::16511:1::VZV::au::20016""],""name"":""Willem Schepmans [Voorzitter van De Violieren [Rederijkerskamer]]"",""ark"":""ark:/83110/x0/d5930bcd-3249-510d-94aa-c4e6dec4f692"",""uri"":""/agents/people/1766677"",""id"":""au::16511:1::VZV::au::20016"",""resourceArk"":""ark:/83110/x0/4d1b2f37-6987-52d0-b460-55ee59623999"",""resourceID"":""au::16511:1"",""capacity"":""Voorzitter van De Violieren [Rederijkerskamer]"",""isCapacity"":true,""relatorRaw"":""au::16511:1::VZV.2"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4d1b2f37-6987-52d0-b460-55ee59623999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
