ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:22420,record identifiers,https://data.letterenhuis.be/ark:/24970/ec048445-50fb-5995-b11b-9edce05431d9,object identifier,Brieven,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0664586f-3500-4bc8-8fd2-966bcdc39506"", ""ontologyProperty"": """", ""resourceXresourceId"": ""922725f3-12ab-46e1-a519-bfe5eb5ee259"", ""inverseOntologyProperty"": """"}]"
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.0,2060,In Copyright,
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19450116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1945-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000021488,referentienummer,False,,,,,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:22420,brocade id,False,,,,,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:22420/N,brocade url,False,,,,,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ff47863b-035b-58d9-8452-87b0b5c80255"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7fbddb8e-bfd1-4a8c-8bf5-9f2dd296b48c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,e73_Titles,,,au::3272,,,,lhbr,lhbr,Brief,bffbe8bf-15e5-5213-91a0-72e061307ed7,bs,,au::3272:1,au::3272g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/350104"",""au::3272"",""au::3272:1"",""ark:/83110/x0/bffbe8bf-15e5-5213-91a0-72e061307ed7"",""G. Jos Buschmann"",""ark:/83110/x0/a22b8f0e-c806-52d1-bcb9-b87186ecfb8e""],""name"":""G. Jos Buschmann"",""ark"":""ark:/83110/x0/a22b8f0e-c806-52d1-bcb9-b87186ecfb8e"",""uri"":""/agents/people/350104"",""id"":""au::3272:1"",""resourceArk"":""ark:/83110/x0/bffbe8bf-15e5-5213-91a0-72e061307ed7"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/bffbe8bf-15e5-5213-91a0-72e061307ed7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec048445-50fb-5995-b11b-9edce05431d9,tg:lhbr:22420,e73_Titles,,,au::25466,,,,lhbr,lhbr,Brief,3e89107f-ee8e-5261-a80b-f41ddf9852e3,co,,au::25466:1,au::25466g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/2724862"",""au::25466"",""au::25466:1"",""ark:/83110/x0/3e89107f-ee8e-5261-a80b-f41ddf9852e3"",""(Dhr.) Georges"",""ark:/83110/x0/a64bdda2-5963-5183-89b8-a554ca90efbf""],""name"":""(Dhr.) Georges"",""ark"":""ark:/83110/x0/a64bdda2-5963-5183-89b8-a554ca90efbf"",""uri"":""/agents/people/2724862"",""id"":""au::25466:1"",""resourceArk"":""ark:/83110/x0/3e89107f-ee8e-5261-a80b-f41ddf9852e3"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3e89107f-ee8e-5261-a80b-f41ddf9852e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
