ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
ef57fff8-9146-5df8-ae37-755eb6b436d6,tg:lhbr:108041,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:108041,record identifiers,https://data.letterenhuis.be/ark:/24970/ef57fff8-9146-5df8-ae37-755eb6b436d6,object identifier,Brieven,,,,,,
ef57fff8-9146-5df8-ae37-755eb6b436d6,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7016e207-cda2-48fa-a51c-7c1d688478f6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c703766d-81e7-46aa-ac56-0efe94ddfc35"", ""inverseOntologyProperty"": """"}]"
ef57fff8-9146-5df8-ae37-755eb6b436d6,tg:lhbr:108041,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.0,2002,No Copyright - Public Domain Mark 1.0,
ef57fff8-9146-5df8-ae37-755eb6b436d6,tg:lhbr:108041,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18870530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef57fff8-9146-5df8-ae37-755eb6b436d6,tg:lhbr:108041,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1887-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef57fff8-9146-5df8-ae37-755eb6b436d6,tg:lhbr:108041,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
ef57fff8-9146-5df8-ae37-755eb6b436d6,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000101658,referentienummer,False,,,,,,,,,,,,,,,
ef57fff8-9146-5df8-ae37-755eb6b436d6,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:108041,brocade id,False,,,,,,,,,,,,,,,
ef57fff8-9146-5df8-ae37-755eb6b436d6,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:108041/N,brocade url,False,,,,,,,,,,,,,,,
ef57fff8-9146-5df8-ae37-755eb6b436d6,tg:lhbr:108041,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3ca284c0-12f6-5765-8c9c-618dfd3f830b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""620ec833-9cc1-4d7f-9f85-b44ce0fce02d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
