ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
f800fcf5-163a-5579-afeb-08afcf04bbb9,tg:lhbr:232253,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:232253,record identifiers,https://data.letterenhuis.be/ark:/24970/f800fcf5-163a-5579-afeb-08afcf04bbb9,object identifier,Brieven,,,,,,
f800fcf5-163a-5579-afeb-08afcf04bbb9,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""573568ea-b2ce-42be-b892-72e783f7a70c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6bf5c9b0-ed54-4f20-87c2-25f6a6a20670"", ""inverseOntologyProperty"": """"}]"
f800fcf5-163a-5579-afeb-08afcf04bbb9,tg:lhbr:232253,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,2074,In Copyright,
f800fcf5-163a-5579-afeb-08afcf04bbb9,tg:lhbr:232253,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19590102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f800fcf5-163a-5579-afeb-08afcf04bbb9,tg:lhbr:232253,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1959-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f800fcf5-163a-5579-afeb-08afcf04bbb9,tg:lhbr:232253,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
f800fcf5-163a-5579-afeb-08afcf04bbb9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000221461,referentienummer,False,,,,,,,,,,,,,,,
f800fcf5-163a-5579-afeb-08afcf04bbb9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:232253,brocade id,False,,,,,,,,,,,,,,,
f800fcf5-163a-5579-afeb-08afcf04bbb9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:232253/N,brocade url,False,,,,,,,,,,,,,,,
f800fcf5-163a-5579-afeb-08afcf04bbb9,tg:lhbr:232253,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""417bd27f-fd24-599f-aee9-b2cad24970c3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""30b4ca86-1435-4c78-acc2-fd90d4e0f1ac"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
