ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
f9eaefe8-ab69-5a52-a782-650648e4f7da,tg:lhbr:86726,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:86726,record identifiers,https://data.letterenhuis.be/ark:/24970/f9eaefe8-ab69-5a52-a782-650648e4f7da,object identifier,Brieven,,,,,,
f9eaefe8-ab69-5a52-a782-650648e4f7da,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4744ca3e-6e86-42b2-be4b-c593d82173f7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9ac3b02b-20ad-45d0-b47c-9cfca70295ee"", ""inverseOntologyProperty"": """"}]"
f9eaefe8-ab69-5a52-a782-650648e4f7da,tg:lhbr:86726,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947.0,2062,In Copyright,
f9eaefe8-ab69-5a52-a782-650648e4f7da,tg:lhbr:86726,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19471117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9eaefe8-ab69-5a52-a782-650648e4f7da,tg:lhbr:86726,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1947-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9eaefe8-ab69-5a52-a782-650648e4f7da,tg:lhbr:86726,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
f9eaefe8-ab69-5a52-a782-650648e4f7da,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000081434,referentienummer,False,,,,,,,,,,,,,,,
f9eaefe8-ab69-5a52-a782-650648e4f7da,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:86726,brocade id,False,,,,,,,,,,,,,,,
f9eaefe8-ab69-5a52-a782-650648e4f7da,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:86726/N,brocade url,False,,,,,,,,,,,,,,,
f9eaefe8-ab69-5a52-a782-650648e4f7da,tg:lhbr:86726,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0bed2e35-754f-5bc4-bfb2-d5befb405dd0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""751ec0f0-7253-44a3-8569-c452974a3ba8"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
