ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,tg:lhbr:309282,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:309282,record identifiers,https://data.letterenhuis.be/ark:/24970/fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,object identifier,Brieven,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e3fb3756-9de1-468d-9b14-a3c17025ba99"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8289d829-9785-42d5-ac13-a53da83af6fb"", ""inverseOntologyProperty"": """"}]"
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,tg:lhbr:309282,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0,2097,In Copyright,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,tg:lhbr:309282,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19821207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,tg:lhbr:309282,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1982-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,tg:lhbr:309282,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000297619,referentienummer,False,,,,,,,,,,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:309282,brocade id,False,,,,,,,,,,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:309282/N,brocade url,False,,,,,,,,,,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,tg:lhbr:309282,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7311bb8b-8283-59ea-b694-12e225ca2566"", ""ontologyProperty"": """", ""resourceXresourceId"": ""70b78ea8-9132-49c3-9d65-fa192666e22c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
fa36ecaa-6d19-5ca9-8397-c1ccc7d4731d,tg:lhbr:309282,e73_Titles,,,au::1185,,,,lhbr,lhbr,Brief,9c0323b4-44ba-59ef-b683-d7fe4c040a31,bs,,au::1185:1,au::1185g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/126795"",""au::1185"",""au::1185:1"",""ark:/83110/x0/9c0323b4-44ba-59ef-b683-d7fe4c040a31"",""Jan Bauwens"",""ark:/83110/x0/c2ea4657-4d0f-571f-ba60-6fccfde17df0""],""name"":""Jan Bauwens"",""ark"":""ark:/83110/x0/c2ea4657-4d0f-571f-ba60-6fccfde17df0"",""uri"":""/agents/people/126795"",""id"":""au::1185:1"",""resourceArk"":""ark:/83110/x0/9c0323b4-44ba-59ef-b683-d7fe4c040a31"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9c0323b4-44ba-59ef-b683-d7fe4c040a31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
