ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:259710,record identifiers,https://data.letterenhuis.be/ark:/24970/fa8626ca-32c7-5aca-be89-9e42ed4fc39c,object identifier,Brieven,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4b71f1ed-0f1a-4f46-bca9-c5f85d70d504"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b41728eb-f1e8-4a83-bbd8-abe9e13aa393"", ""inverseOntologyProperty"": """"}]"
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0,2086,In Copyright,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19710204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1971-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000248488,referentienummer,False,,,,,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:259710,brocade id,False,,,,,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:259710/N,brocade url,False,,,,,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a0bf86da-c690-540f-9942-1f99b2872ba4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f645e1ed-3076-428d-9fdf-05ab6fe3a48b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,e73_Titles,,,au::45098,,,,lhbr,lhbr,Brief,3f08eb1c-6548-59da-8851-5d891f54d7b2,bs,,au::45098:1,au::45098g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4825486"",""au::45098"",""au::45098:1"",""ark:/83110/x0/3f08eb1c-6548-59da-8851-5d891f54d7b2"",""Raf de Smedt"",""ark:/83110/x0/e576b5b4-60ab-5163-b5a2-224668a0e341""],""name"":""Raf de Smedt"",""ark"":""ark:/83110/x0/e576b5b4-60ab-5163-b5a2-224668a0e341"",""uri"":""/agents/people/4825486"",""id"":""au::45098:1"",""resourceArk"":""ark:/83110/x0/3f08eb1c-6548-59da-8851-5d891f54d7b2"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3f08eb1c-6548-59da-8851-5d891f54d7b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa8626ca-32c7-5aca-be89-9e42ed4fc39c,tg:lhbr:259710,e73_Titles,,,au::9752,,,,lhbr,lhbr,Brief,9db23628-b2ea-5982-aebe-0b7e1f9b2541,co,,au::9752:1,au::9752g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1043464"",""au::9752"",""au::9752:1"",""ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541"",""Karel Jonckheere"",""ark:/83110/x0/bcadde57-02f7-500c-b153-fe698a5aa1e5""],""name"":""Karel Jonckheere"",""ark"":""ark:/83110/x0/bcadde57-02f7-500c-b153-fe698a5aa1e5"",""uri"":""/agents/people/1043464"",""id"":""au::9752:1"",""resourceArk"":""ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
