ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,tg:lhbr:289723,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:289723,record identifiers,https://data.letterenhuis.be/ark:/24970/fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,object identifier,Brieven,,,,,,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""be580001-a59d-45af-9b4b-a22832b64567"", ""ontologyProperty"": """", ""resourceXresourceId"": ""31a61f14-a23e-4a96-be3f-358b255c3206"", ""inverseOntologyProperty"": """"}]"
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,tg:lhbr:289723,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,2088,In Copyright,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,tg:lhbr:289723,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19730925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,tg:lhbr:289723,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1973-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,tg:lhbr:289723,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000278222,referentienummer,False,,,,,,,,,,,,,,,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:289723,brocade id,False,,,,,,,,,,,,,,,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:289723/N,brocade url,False,,,,,,,,,,,,,,,
fd7e0b2b-cb42-597d-b490-f3d2edd7d5b6,tg:lhbr:289723,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e4ea6776-4d0e-5c68-b816-83435982c6ba"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f692da01-ce02-452c-b3a4-b89aa579810b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
