ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:11691,record identifiers,https://data.letterenhuis.be/ark:/24970/433c1219-0e14-5991-8f11-e9cea6135c9e,object identifier,Foto's,
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Aankoop veilingshuis Bernaerts.</p>
","<p>Aankoop veilingshuis Bernaerts.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9ad959e7-c0ab-40e0-90ea-d06beb3e74ee"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a4ee9f2d-8b25-46a7-a97c-38da0292bcc6"", ""inverseOntologyProperty"": """"}]"
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,e73_Copyrights,,,,,,,1976.0,2091,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Gustaaf de Bruyne, Profiel ten voeten uit, zittend op houten krukje in atelier met blocnote en potlood in de hand.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000011044,referentienummer,,False,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:11691,brocade id,,False,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:11691/N,brocade url,,False,,,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c07624f1-b58e-50b4-9043-5b2ffe59a417"", ""ontologyProperty"": """", ""resourceXresourceId"": ""354a1e67-844f-4431-b471-172a04aa7631"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
433c1219-0e14-5991-8f11-e9cea6135c9e,tg:lhph:11691,e73_Titles,,,au::3139,,,,,,,lhph,lhph,Foto,49a9b656-6563-571f-8508-1b4191af6cb9,kw,,au::3139:1,au::3139g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/335873"",""au::3139"",""au::3139:1"",""ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9"",""Gustaaf Christian de Bruyne"",""ark:/83110/x0/170aa26a-1522-5517-b30e-2792c5145fdd""],""name"":""Gustaaf Christian de Bruyne"",""ark"":""ark:/83110/x0/170aa26a-1522-5517-b30e-2792c5145fdd"",""uri"":""/agents/people/335873"",""id"":""au::3139:1"",""resourceArk"":""ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9,,,,,,,,,,,,,,,,,,,,,
