ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:5134,record identifiers,https://data.letterenhuis.be/ark:/24970/69700e72-71c9-5f8d-a13b-3cb7f6a0074d,object identifier,Foto's,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0799af14-d942-41be-b83d-621824d89e5d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ee0b7a0b-3b10-4ac4-be99-6a20467a9c17"", ""inverseOntologyProperty"": """"}]"
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134,e73_Copyrights,,,,,,,1910.0,2025,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134_#1,e73_CreationPlacesSource_lhph,1,,,,,,,,,,,,,,,,,,,,,lhph,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Het Koninklijk Atheneum aan de Fr. Rooseveltplaats te Antwerpen.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000004833,referentienummer,,False,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:5134,brocade id,,False,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:5134/N,brocade url,,False,,,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e3e7e0eb-da76-5ec5-a083-bd65cc0b731f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""90ef4f3b-7030-49e4-82a6-75fc2dc1c807"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
69700e72-71c9-5f8d-a13b-3cb7f6a0074d,tg:lhph:5134,e73_Titles,,,au::10456,,,,,,,lhph,lhph,Foto,b7fe2d25-1aa4-581b-919b-94beca089d86,kw,,au::10456:1,au::10456g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1118792"",""au::10456"",""au::10456:1"",""ark:/83110/x0/b7fe2d25-1aa4-581b-919b-94beca089d86"",""Koninklijk Atheneum van Antwerpen"",""ark:/83110/x0/a63fdbf5-02a7-5592-9132-fdd9af74825a""],""name"":""Koninklijk Atheneum van Antwerpen"",""ark"":""ark:/83110/x0/a63fdbf5-02a7-5592-9132-fdd9af74825a"",""uri"":""/agents/corporate_entities/1118792"",""id"":""au::10456:1"",""resourceArk"":""ark:/83110/x0/b7fe2d25-1aa4-581b-919b-94beca089d86"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b7fe2d25-1aa4-581b-919b-94beca089d86,,,,,,,,,,,,,,,,,,,,,
