ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
6e625f88-d948-53ee-ae39-904674db71b0,tg:lhph:18493,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:18493,record identifiers,https://data.letterenhuis.be/ark:/24970/6e625f88-d948-53ee-ae39-904674db71b0,object identifier,Foto's,
6e625f88-d948-53ee-ae39-904674db71b0,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4c608d72-a223-4bc5-a04f-f028ae1b1a16"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ab8ce49c-5911-422a-9463-e82149235e1a"", ""inverseOntologyProperty"": """"}]"
6e625f88-d948-53ee-ae39-904674db71b0,tg:lhph:18493,e73_CreationTimeSpans,,default_copyright,,,,,,,Copyright Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e625f88-d948-53ee-ae39-904674db71b0,tg:lhph:18493,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>De wereld in!</p>
<p>Onder leiding S. van der Heyden.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
6e625f88-d948-53ee-ae39-904674db71b0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000017683,referentienummer,,False,,,,,,,,,,,,,
6e625f88-d948-53ee-ae39-904674db71b0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:18493,brocade id,,False,,,,,,,,,,,,,
6e625f88-d948-53ee-ae39-904674db71b0,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:18493/N,brocade url,,False,,,,,,,,,,,,,
6e625f88-d948-53ee-ae39-904674db71b0,tg:lhph:18493,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""460b638d-99c2-5d9d-b9c9-cc1a6057f066"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9540b833-5ca0-499f-8ac7-cc275dfedb3c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
6e625f88-d948-53ee-ae39-904674db71b0,tg:lhph:18493,e73_Titles,,,au::8805,,,,,,,lhph,lhph,Foto,0245920b-eccb-54c5-844f-1fe4d6f61f79,kw,,au::8805:1,au::8805g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/942135"",""au::8805"",""au::8805:1"",""ark:/83110/x0/0245920b-eccb-54c5-844f-1fe4d6f61f79"",""S. van der Heyden"",""ark:/83110/x0/7b0091ef-a97e-50dc-8295-995e303387a8""],""name"":""S. van der Heyden"",""ark"":""ark:/83110/x0/7b0091ef-a97e-50dc-8295-995e303387a8"",""uri"":""/agents/people/942135"",""id"":""au::8805:1"",""resourceArk"":""ark:/83110/x0/0245920b-eccb-54c5-844f-1fe4d6f61f79"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0245920b-eccb-54c5-844f-1fe4d6f61f79,,,,,,,,,,,,,,,,,,,,,
6e625f88-d948-53ee-ae39-904674db71b0,tg:lhph:18493,e73_Titles,,,au::10815,,,,,,,lhph,lhph,Foto,9ee3d126-145c-5f9f-b4b3-1ae0a620db91,vb,,au::10815:1,au::10815g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1157205"",""au::10815"",""au::10815:1"",""ark:/83110/x0/9ee3d126-145c-5f9f-b4b3-1ae0a620db91"",""Het Laatste Nieuws"",""ark:/83110/x0/0675ab30-ce55-5970-a607-de83a06506d0""],""name"":""Het Laatste Nieuws"",""ark"":""ark:/83110/x0/0675ab30-ce55-5970-a607-de83a06506d0"",""uri"":""/agents/corporate_entities/1157205"",""id"":""au::10815:1"",""resourceArk"":""ark:/83110/x0/9ee3d126-145c-5f9f-b4b3-1ae0a620db91"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9ee3d126-145c-5f9f-b4b3-1ae0a620db91,,,,,,,,
