ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,tg:lhph:6064,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:6064,record identifiers,https://data.letterenhuis.be/ark:/24970/97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,object identifier,Foto's,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e432150f-f2d1-44c8-b17f-c249b0ca6f0a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""84b7e88d-05bb-4a3f-8be2-a3bdf4de90da"", ""inverseOntologyProperty"": """"}]"
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,tg:lhph:6064,e73_CreationTimeSpans,,default_copyright,,,,,,,Copyright Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,tg:lhph:6064,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Huldiging van de oud-strijders van de Eerste Wereldoorlog, op de tonen van de Brabançonne.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000005734,referentienummer,,False,,,,,,,,,,,,,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:6064,brocade id,,False,,,,,,,,,,,,,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:6064/N,brocade url,,False,,,,,,,,,,,,,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,tg:lhph:6064,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""347edf9d-82be-5c1c-ba78-cb545aaaf75c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c8ab8333-cb53-4ac2-a8e9-4792d09b64dd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,tg:lhph:6064,e73_Titles,,,au::54362,,,,,,,lhph,lhph,Foto,1701b8c4-acef-573a-adf5-1ffa9305e8b9,fo,photographers,au::54362:1,au::54362g:1,,"dlod={""suggest"":[""/agents/corporate_entities/5816734"",""au::54362"",""au::54362:1"",""ark:/83110/x0/1701b8c4-acef-573a-adf5-1ffa9305e8b9"",""Anvers-presse"",""ark:/83110/x0/07638432-edaa-5185-b5c8-09c57a016496""],""name"":""Anvers-presse"",""ark"":""ark:/83110/x0/07638432-edaa-5185-b5c8-09c57a016496"",""uri"":""/agents/corporate_entities/5816734"",""id"":""au::54362:1"",""resourceArk"":""ark:/83110/x0/1701b8c4-acef-573a-adf5-1ffa9305e8b9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1701b8c4-acef-573a-adf5-1ffa9305e8b9,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97d1dd39-febb-54f4-a49b-5a6fb8b1d36c,tg:lhph:6064,e73_Titles,,,au::9333,,,,,,,lhph,lhph,Foto,5bf60085-9092-5012-8341-819072252a4f,kw,,au::9333:1,au::9333g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""name"":""IJzerslag [Herdenkingen]"",""ark"":""ark:/83110/x0/5bf60085-9092-5012-8341-819072252a4f"",""uri"":""/subjects/998631"",""id"":""au::9333"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""topic""}",ark:/83110/x0/5bf60085-9092-5012-8341-819072252a4f,,,,,,,,,,,,,,,,,,,,,
