ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
abf696b9-2b68-5dc4-88af-348b378b25d3,tg:lhph:30027,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:30027,record identifiers,https://data.letterenhuis.be/ark:/24970/abf696b9-2b68-5dc4-88af-348b378b25d3,object identifier,Foto's,
abf696b9-2b68-5dc4-88af-348b378b25d3,tg:lhph:30027,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Origineel zoek, Deze is vergroting met bijhorende namenlijst opgemaakt door Emile Beliëns.</p>
","<p>Origineel zoek, Deze is vergroting met bijhorende namenlijst opgemaakt door Emile Beliëns.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abf696b9-2b68-5dc4-88af-348b378b25d3,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""98aa1305-44a1-40cc-ad9b-4b9054f5cb50"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3456b22c-c4e8-477d-b15a-49f69413d48d"", ""inverseOntologyProperty"": """"}]"
abf696b9-2b68-5dc4-88af-348b378b25d3,tg:lhph:30027,e73_Copyrights,,,,,,,1917.0,2032,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abf696b9-2b68-5dc4-88af-348b378b25d3,tg:lhph:30027_#1,e73_CreationPlacesSource_lhph,1,,,,,,,,,,,,,,,,,,,,,lhph,Göttingen,,,Göttingen (Landkreis Göttingen),au::102159,2abe7c19-5a96-52ae-a037-1bc9e35f5d18,Göttingen (Landkreis Göttingen),au::102159,2abe7c19-5a96-52ae-a037-1bc9e35f5d18,au::102159,2abe7c19-5a96-52ae-a037-1bc9e35f5d18,,au::102159,remarks,Nederlands,"dlod={""name"":""Göttingen (Landkreis Göttingen)"",""ark"":""ark:/83110/x0/2abe7c19-5a96-52ae-a037-1bc9e35f5d18"",""uri"":""/subjects/10931013"",""id"":""au::102159"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abf696b9-2b68-5dc4-88af-348b378b25d3,tg:lhph:30027,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abf696b9-2b68-5dc4-88af-348b378b25d3,tg:lhph:30027,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abf696b9-2b68-5dc4-88af-348b378b25d3,tg:lhph:30027,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Groepsfoto Krijgsgevangenen te Göttingen. Met o.a. August Balthazar, Ivo van Daele, Hendrik van Hoofstadt, Willem van Kelst, Paul van Oystaeyen, Godfrien Rooms (kilo), Zander Michiels, Cyril Rousseau, Rafaël Verhulst, Emiel Brion, Piet van Rossem, Piet Bessem, Jef Verhulst, Emiel Beliëns, Jef Goossenaerts, Maurits Goossens, Jef Vanhaelen, Hyppoliet Verrijken, Jaak Schepers, G. de Groof, Rik van Schoor, Karel Moens, Jan de Decker, Frank Michiels, Jules de Vuyst, Seppe Verhulst, Antoon Gilissen, Gilbert Lemajeur, Jules Burssens, Edgard de Pont, Alexander de Graeve, Clément Burssens.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
abf696b9-2b68-5dc4-88af-348b378b25d3,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000028944,referentienummer,,False,,,,,,,,,,,,,
abf696b9-2b68-5dc4-88af-348b378b25d3,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:30027,brocade id,,False,,,,,,,,,,,,,
