ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,tg:lhph:9984,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:9984,record identifiers,https://data.letterenhuis.be/ark:/24970/d44471d5-4683-5e88-bcc2-6c3e4cedb19d,object identifier,Foto's,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1e15311d-af63-47bb-ab05-8a3109a17396"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2251c08d-282b-4952-979a-325547cd79aa"", ""inverseOntologyProperty"": """"}]"
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,tg:lhph:9984,e73_Copyrights,,,,,,,1929.0,2044,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,tg:lhph:9984,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,tg:lhph:9984,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,tg:lhph:9984,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Jan de Schuyter, ten voeten uit.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000009599,referentienummer,,False,,,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:9984,brocade id,,False,,,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:9984/N,brocade url,,False,,,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,tg:lhph:9984,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""268584c3-4486-5b28-806a-eed4197adf2b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c1cc72b9-87fb-427b-b6b1-9c3ce7e61343"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
d44471d5-4683-5e88-bcc2-6c3e4cedb19d,tg:lhph:9984,e73_Titles,,,au::16748,,,,,,,lhph,lhph,Foto,c17f4ab6-d5ae-5834-87b5-9aea16d812c5,kw,,au::16748:1,au::16748g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1792036"",""au::16748"",""au::16748:1"",""ark:/83110/x0/c17f4ab6-d5ae-5834-87b5-9aea16d812c5"",""Jan de Schuyter"",""ark:/83110/x0/ca573639-355d-593c-908e-0084a3072b65""],""name"":""Jan de Schuyter"",""ark"":""ark:/83110/x0/ca573639-355d-593c-908e-0084a3072b65"",""uri"":""/agents/people/1792036"",""id"":""au::16748:1"",""resourceArk"":""ark:/83110/x0/c17f4ab6-d5ae-5834-87b5-9aea16d812c5"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c17f4ab6-d5ae-5834-87b5-9aea16d812c5,,,,,,,,,,,,,,,,,,,,,
