ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,source_date,Copyright Revision Date,Copyright Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,End Date Note,End Date Note Type,End Date Note Language,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Code,Legacy Information Value,Legacy Information Type, card,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Transactions
d9dd94be-a083-5980-bc67-060b7f49335c,tg:lhph:3217,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:3217,record identifiers,https://data.letterenhuis.be/ark:/24970/d9dd94be-a083-5980-bc67-060b7f49335c,object identifier,Foto's,
d9dd94be-a083-5980-bc67-060b7f49335c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""eb1c140b-ffe1-4d63-a98e-5bc6a20ea944"", ""ontologyProperty"": """", ""resourceXresourceId"": ""23ff8f62-de53-488e-8d14-16741172ac66"", ""inverseOntologyProperty"": """"}]"
d9dd94be-a083-5980-bc67-060b7f49335c,tg:lhph:3217,e73_Copyrights,,,,,,,1950.0,2065,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9dd94be-a083-5980-bc67-060b7f49335c,tg:lhph:3217,e73_CreationTimeSpanSourceNotes,0,id/date.exposure/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9dd94be-a083-5980-bc67-060b7f49335c,tg:lhph:3217,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,circa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9dd94be-a083-5980-bc67-060b7f49335c,tg:lhph:3217,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Willem Elsschot op straat, met rechts zijn schoonzoon, de schilder Vic Dolphyn en links auteur Peter van Steen, die door Dolphyn geportretteerd werd in 1947.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,
d9dd94be-a083-5980-bc67-060b7f49335c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ph/000002990,referentienummer,,False,,,,,,,,,,,,,
d9dd94be-a083-5980-bc67-060b7f49335c,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIRES002\Elsschot-W\Elsschot25.tif,commentaar gebruiker,,False,,,,,,,,,,,,,
d9dd94be-a083-5980-bc67-060b7f49335c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhph:3217,brocade id,,False,,,,,,,,,,,,,
d9dd94be-a083-5980-bc67-060b7f49335c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhph:3217/N,brocade url,,False,,,,,,,,,,,,,
